	Group	Feature	KW	Group1	Group2	p	q
0	E_d7	Methanobrevibacter	0.12018287741415237	-	-	-	-
1	E_d7	Methanomethylophilaceae uncl	0.10438331488540885	-	-	-	-
2	E_d7	Methanomicrobium	0.1721352548752419	-	-	-	-
3	E_d7	Methanosphaera	0.08180304078079291	-	-	-	-
4	FL_d7	Methanobrevibacter	0.491030480516333	-	-	-	-
5	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt3	Trt4	0.07299804543011548	0.1824951135752887
6	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt3	Trt2	0.20948237571633044	0.29926053673761494
7	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt3	Trt5	1.0	1.0
8	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt3	Trt1	0.00855097923712533	0.04275489618562665
9	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt4	Trt2	0.5906786252963061	0.6563095836625623
10	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt4	Trt5	0.07299804543011548	0.1824951135752887
11	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt4	Trt1	0.40278369424647564	0.5034796178080945
12	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt2	Trt5	0.20948237571633044	0.29926053673761494
13	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt2	Trt1	0.1692825080005217	0.29926053673761494
14	FL_d7	Methanomethylophilaceae uncl	0.03260077594770934	Trt5	Trt1	0.00855097923712533	0.04275489618562665
15	FL_d7	Methanomicrobium	0.33417733516197373	-	-	-	-
16	FL_d7	Methanosphaera	0.20966370248889232	-	-	-	-
17	E_d13	Methanobrevibacter	0.6344335354388431	-	-	-	-
18	E_d13	Methanomethylophilaceae uncl	0.639527048189646	-	-	-	-
19	E_d13	Methanomicrobium	0.2729510249670293	-	-	-	-
20	E_d13	Methanosphaera	0.13234988294553263	-	-	-	-
21	FL_d13	Methanobrevibacter	0.35457010675946943	-	-	-	-
22	FL_d13	Methanomethylophilaceae uncl	0.8181789875212496	-	-	-	-
23	FL_d13	Methanomicrobium	0.606717120552483	-	-	-	-
24	FL_d13	Methanosphaera	0.3528629746050989	-	-	-	-
25	FR_d13	Methanobrevibacter	0.12292849489373371	-	-	-	-
26	FR_d13	Methanomethylophilaceae uncl	0.45957919825038274	-	-	-	-
27	FR_d13	Methanomicrobium	0.9080342110122095	-	-	-	-
28	FR_d13	Methanosphaera	0.25977371442340685	-	-	-	-
29	SAM_d13	Methanobrevibacter	0.5483086404674355	-	-	-	-
30	SAM_d13	Methanomethylophilaceae uncl	0.62682312397823	-	-	-	-
31	SAM_d13	Methanomicrobium	0.2935543005803865	-	-	-	-
32	SAM_d13	Methanosphaera	0.022920966588687867	Trt3	Trt4	0.3387981941170368	0.46624310080145753
33	SAM_d13	Methanosphaera	0.022920966588687867	Trt3	Trt2	0.026966342650077194	0.09700405145806881
34	SAM_d13	Methanosphaera	0.022920966588687867	Trt3	Trt5	0.02910121543742064	0.09700405145806881
35	SAM_d13	Methanosphaera	0.022920966588687867	Trt3	Trt1	0.002535373382946094	0.02535373382946094
36	SAM_d13	Methanosphaera	0.022920966588687867	Trt4	Trt2	0.20931105569081432	0.3672674597589363
37	SAM_d13	Methanosphaera	0.022920966588687867	Trt4	Trt5	0.22036047585536178	0.3672674597589363
38	SAM_d13	Methanosphaera	0.022920966588687867	Trt4	Trt1	0.0391558883923903	0.09788972098097574
39	SAM_d13	Methanosphaera	0.022920966588687867	Trt2	Trt5	0.9761532220250061	0.9761532220250061
40	SAM_d13	Methanosphaera	0.022920966588687867	Trt2	Trt1	0.4196187907213118	0.46624310080145753
41	SAM_d13	Methanosphaera	0.022920966588687867	Trt5	Trt1	0.4026067680336506	0.46624310080145753
