	Feature	KW	Group1	Group2	p	q
0	Methanomicrobium	2.8608524669347417e-13	RF_d0	SAM_d13	3.1008606035522206e-09	8.682409689946218e-08
1	Methanomicrobium	2.8608524669347417e-13	RF_d0	FL_d13	4.743564113329082e-07	3.3204948793303576e-06
2	Methanomicrobium	2.8608524669347417e-13	RF_d0	E_d13	3.6059269880952137e-07	3.3204948793303576e-06
3	Methanomicrobium	2.8608524669347417e-13	RF_d0	RSP_d0	0.8988213447115372	0.9321110241452978
4	Methanomicrobium	2.8608524669347417e-13	RF_d0	E_d7	0.002763412720951461	0.005526825441902922
5	Methanomicrobium	2.8608524669347417e-13	RF_d0	FR_d13	0.00015786539931887154	0.0004911367978809336
6	Methanomicrobium	2.8608524669347417e-13	RF_d0	FL_d7	0.01838671365155874	0.02629480972713102
7	Methanomicrobium	2.8608524669347417e-13	SAM_d13	FL_d13	0.23917740815278965	0.291172496881657
8	Methanomicrobium	2.8608524669347417e-13	SAM_d13	E_d13	0.2678999706839912	0.3125499657979897
9	Methanomicrobium	2.8608524669347417e-13	SAM_d13	RSP_d0	4.4130105503677265e-08	6.178214770514817e-07
10	Methanomicrobium	2.8608524669347417e-13	SAM_d13	E_d7	0.00010430634819423535	0.00036507221867982374
11	Methanomicrobium	2.8608524669347417e-13	SAM_d13	FR_d13	0.00020810860263926621	0.0005827040873899454
12	Methanomicrobium	2.8608524669347417e-13	SAM_d13	FL_d7	2.3516154051875546e-06	1.0974205224208589e-05
13	Methanomicrobium	2.8608524669347417e-13	FL_d13	E_d13	0.9448832064950815	0.9448832064950815
14	Methanomicrobium	2.8608524669347417e-13	FL_d13	RSP_d0	2.9563725429511916e-06	1.1825490171804767e-05
15	Methanomicrobium	2.8608524669347417e-13	FL_d13	E_d7	0.006865383273218733	0.01130769009706615
16	Methanomicrobium	2.8608524669347417e-13	FL_d13	FR_d13	0.01878200694795073	0.02629480972713102
17	Methanomicrobium	2.8608524669347417e-13	FL_d13	FL_d7	0.0003947864632833149	0.0009211684143277349
18	Methanomicrobium	2.8608524669347417e-13	E_d13	RSP_d0	2.349247569988225e-06	1.0974205224208589e-05
19	Methanomicrobium	2.8608524669347417e-13	E_d13	E_d7	0.005563809474354195	0.009736666580119843
20	Methanomicrobium	2.8608524669347417e-13	E_d13	FR_d13	0.01511306314607062	0.023509209338332074
21	Methanomicrobium	2.8608524669347417e-13	E_d13	FL_d7	0.00030305055058245687	0.0007714014014826176
22	Methanomicrobium	2.8608524669347417e-13	RSP_d0	E_d7	0.004549768644866199	0.008492901470416904
23	Methanomicrobium	2.8608524669347417e-13	RSP_d0	FR_d13	0.0004663365842816552	0.0010044172584527957
24	Methanomicrobium	2.8608524669347417e-13	RSP_d0	FL_d7	0.02342303440556416	0.031230712540752215
25	Methanomicrobium	2.8608524669347417e-13	E_d7	FR_d13	0.4403054648847221	0.4741751160297007
26	Methanomicrobium	2.8608524669347417e-13	E_d7	FL_d7	0.40077372251405796	0.4488665692157449
27	Methanomicrobium	2.8608524669347417e-13	FR_d13	FL_d7	0.08152536569758209	0.10375955634237721
28	Methanobrevibacter	4.285488402295948e-09	RF_d0	SAM_d13	0.013785217534626054	0.025732406064635303
29	Methanobrevibacter	4.285488402295948e-09	RF_d0	FL_d13	5.634525899092722e-07	8.095252328067894e-06
30	Methanobrevibacter	4.285488402295948e-09	RF_d0	E_d13	7.579014791092623e-06	5.305310353764836e-05
31	Methanobrevibacter	4.285488402295948e-09	RF_d0	RSP_d0	0.6654040833932082	0.6654040833932082
32	Methanobrevibacter	4.285488402295948e-09	RF_d0	E_d7	0.043876195943704864	0.06465965718019664
33	Methanobrevibacter	4.285488402295948e-09	RF_d0	FR_d13	0.000834481931311957	0.0023365494076734794
34	Methanobrevibacter	4.285488402295948e-09	RF_d0	FL_d7	0.0005739202718787177	0.002008720951575512
35	Methanobrevibacter	4.285488402295948e-09	SAM_d13	FL_d13	0.0007771611378968241	0.0023365494076734794
36	Methanobrevibacter	4.285488402295948e-09	SAM_d13	E_d13	0.007717597884099795	0.01543519576819959
37	Methanobrevibacter	4.285488402295948e-09	SAM_d13	RSP_d0	0.006624920387699274	0.01426905929658305
38	Methanobrevibacter	4.285488402295948e-09	SAM_d13	E_d7	0.5538236246012767	0.5964254418782979
39	Methanobrevibacter	4.285488402295948e-09	SAM_d13	FR_d13	0.33553919095134144	0.3914623894432317
40	Methanobrevibacter	4.285488402295948e-09	SAM_d13	FL_d7	0.19445047988215947	0.23672232333480284
41	Methanobrevibacter	4.285488402295948e-09	FL_d13	E_d13	0.48603924000974386	0.5443639488109131
42	Methanobrevibacter	4.285488402295948e-09	FL_d13	RSP_d0	5.782323091477067e-07	8.095252328067894e-06
43	Methanobrevibacter	4.285488402295948e-09	FL_d13	E_d7	7.722788578777102e-05	0.0004324761604115177
44	Methanobrevibacter	4.285488402295948e-09	FL_d13	FR_d13	0.003526178580205038	0.008227750020478423
45	Methanobrevibacter	4.285488402295948e-09	FL_d13	FL_d7	0.0390862177296849	0.0608007831350654
46	Methanobrevibacter	4.285488402295948e-09	E_d13	RSP_d0	6.037052660425654e-06	5.305310353764836e-05
47	Methanobrevibacter	4.285488402295948e-09	E_d13	E_d7	0.0011290564656728805	0.0028739619126218778
48	Methanobrevibacter	4.285488402295948e-09	E_d13	FR_d13	0.034573827374235616	0.05694512743991749
49	Methanobrevibacter	4.285488402295948e-09	E_d13	FL_d7	0.17173321011077125	0.2185695401409816
50	Methanobrevibacter	4.285488402295948e-09	RSP_d0	E_d7	0.020727004111730934	0.03627225719552914
51	Methanobrevibacter	4.285488402295948e-09	RSP_d0	FR_d13	0.0004844876240682914	0.0019379504962731657
52	Methanobrevibacter	4.285488402295948e-09	RSP_d0	FL_d7	0.00032236937824689944	0.001504390431818864
53	Methanobrevibacter	4.285488402295948e-09	E_d7	FR_d13	0.09963086687058557	0.13284115582744743
