	Feature	KW	Group1	Group2	p	q
0	Lactobacillus	4.7071623773965363e-17	RF_d0	SAM_d13	6.224434136750834e-08	5.809471860967446e-07
1	Lactobacillus	4.7071623773965363e-17	RF_d0	FL_d13	0.00012408787058127837	0.0003474460376275794
2	Lactobacillus	4.7071623773965363e-17	RF_d0	E_d13	0.00911663507413126	0.01823327014826252
3	Lactobacillus	4.7071623773965363e-17	RF_d0	RSP_d0	0.9837063321805279	0.9883849655352628
4	Lactobacillus	4.7071623773965363e-17	RF_d0	E_d7	0.016042031973083758	0.028073555952896578
5	Lactobacillus	4.7071623773965363e-17	RF_d0	FR_d13	1.858709983225215e-10	5.204387953030602e-09
6	Lactobacillus	4.7071623773965363e-17	RF_d0	FL_d7	0.015564843133057595	0.028073555952896578
7	Lactobacillus	4.7071623773965363e-17	SAM_d13	FL_d13	0.04356817198658508	0.06099544078121911
8	Lactobacillus	4.7071623773965363e-17	SAM_d13	E_d13	0.00027611897567199757	0.0007028483017105393
9	Lactobacillus	4.7071623773965363e-17	SAM_d13	RSP_d0	1.2959816110051528e-06	5.183926444020611e-06
10	Lactobacillus	4.7071623773965363e-17	SAM_d13	E_d7	7.059256794922963e-05	0.00023344873917028166
11	Lactobacillus	4.7071623773965363e-17	SAM_d13	FR_d13	0.43684976905539785	0.5096580638979642
12	Lactobacillus	4.7071623773965363e-17	SAM_d13	FL_d7	7.503709473330483e-05	0.00023344873917028166
13	Lactobacillus	4.7071623773965363e-17	FL_d13	E_d13	0.11000942059666408	0.13392451203072148
14	Lactobacillus	4.7071623773965363e-17	FL_d13	RSP_d0	0.0006023296792619445	0.0014054359182778706
15	Lactobacillus	4.7071623773965363e-17	FL_d13	E_d7	0.05680935474599075	0.07471397722875187
16	Lactobacillus	4.7071623773965363e-17	FL_d13	FR_d13	0.002172467009552107	0.004679159712881461
17	Lactobacillus	4.7071623773965363e-17	FL_d13	FL_d7	0.05870383925116218	0.07471397722875187
18	Lactobacillus	4.7071623773965363e-17	E_d13	RSP_d0	0.020161333082889983	0.03320690154828938
19	Lactobacillus	4.7071623773965363e-17	E_d13	E_d7	0.7746755130761446	0.8461417672185394
20	Lactobacillus	4.7071623773965363e-17	E_d13	FR_d13	9.062800822080938e-07	4.229307050304438e-06
21	Lactobacillus	4.7071623773965363e-17	E_d13	FL_d7	0.7857030695600723	0.8461417672185394
22	Lactobacillus	4.7071623773965363e-17	RSP_d0	E_d7	0.03232424878042909	0.047635735044842864
23	Lactobacillus	4.7071623773965363e-17	RSP_d0	FR_d13	1.934651091358985e-08	2.708511527902579e-07
24	Lactobacillus	4.7071623773965363e-17	RSP_d0	FL_d7	0.03153403329647271	0.047635735044842864
25	Lactobacillus	4.7071623773965363e-17	E_d7	FR_d13	9.99066938618076e-08	6.131298931349334e-07
26	Lactobacillus	4.7071623773965363e-17	E_d7	FL_d7	0.9883849655352628	0.9883849655352628
27	Lactobacillus	4.7071623773965363e-17	FR_d13	FL_d7	1.094874809169524e-07	6.131298931349334e-07
28	Pseudoscardovia	2.1389436413471224e-23	RF_d0	SAM_d13	6.07811854625491e-09	3.403746385902749e-08
29	Pseudoscardovia	2.1389436413471224e-23	RF_d0	FL_d13	0.06165871603320538	0.09086547625946055
30	Pseudoscardovia	2.1389436413471224e-23	RF_d0	E_d13	0.0024923813770935557	0.005368206042970735
31	Pseudoscardovia	2.1389436413471224e-23	RF_d0	RSP_d0	0.9109186318527698	0.9109186318527698
32	Pseudoscardovia	2.1389436413471224e-23	RF_d0	E_d7	0.00727983366493385	0.013589022841209853
33	Pseudoscardovia	2.1389436413471224e-23	RF_d0	FR_d13	5.133431303908915e-12	1.4373607650944963e-10
34	Pseudoscardovia	2.1389436413471224e-23	RF_d0	FL_d7	0.023476678271119364	0.038667470093608367
35	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	FL_d13	2.832914443760502e-07	9.915200553161758e-07
36	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	E_d13	0.00030145578073850483	0.000703396821723178
37	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	RSP_d0	8.53285649533367e-08	3.413142598133468e-07
38	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	E_d7	3.4474394362194534e-05	8.775300383104064e-05
39	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	FR_d13	0.36099501664867095	0.4211608527567828
40	Pseudoscardovia	2.1389436413471224e-23	SAM_d13	FL_d7	2.6674367110743483e-06	7.468822791008175e-06
41	Pseudoscardovia	2.1389436413471224e-23	FL_d13	E_d13	0.13333792124462507	0.17778389499283342
42	Pseudoscardovia	2.1389436413471224e-23	FL_d13	RSP_d0	0.07015726019918721	0.09822016427886208
43	Pseudoscardovia	2.1389436413471224e-23	FL_d13	E_d7	0.29556930946482673	0.37447158519932383
44	Pseudoscardovia	2.1389436413471224e-23	FL_d13	FR_d13	1.4577296950209566e-11	2.0408215730293394e-10
45	Pseudoscardovia	2.1389436413471224e-23	FL_d13	FL_d7	0.6171289701909901	0.6588825437026995
46	Pseudoscardovia	2.1389436413471224e-23	E_d13	RSP_d0	0.004360053592832116	0.008720107185664232
47	Pseudoscardovia	2.1389436413471224e-23	E_d13	E_d7	0.635351024284746	0.6588825437026995
48	Pseudoscardovia	2.1389436413471224e-23	E_d13	FR_d13	5.200515335580508e-07	1.6179381044028245e-06
49	Pseudoscardovia	2.1389436413471224e-23	E_d13	FL_d7	0.30760165927087313	0.37447158519932383
50	Pseudoscardovia	2.1389436413471224e-23	RSP_d0	E_d7	0.011029828263979097	0.01930219946196342
51	Pseudoscardovia	2.1389436413471224e-23	RSP_d0	FR_d13	4.1297338579606027e-10	2.890813700572422e-09
52	Pseudoscardovia	2.1389436413471224e-23	RSP_d0	FL_d7	0.03031660720031429	0.047159166756044445
53	Pseudoscardovia	2.1389436413471224e-23	E_d7	FR_d13	1.563144914397964e-08	7.294676267190499e-08
54	Pseudoscardovia	2.1389436413471224e-23	E_d7	FL_d7	0.580128566789212	0.6497439948039174
55	Pseudoscardovia	2.1389436413471224e-23	FR_d13	FL_d7	3.221396957277371e-10	2.890813700572422e-09
56	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	SAM_d13	0.5250967805671951	0.6683049934491574
57	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	FL_d13	0.0007699196426419044	0.0015398392852838088
58	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	E_d13	0.007283492959548891	0.01274611267921056
59	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	RSP_d0	0.3871298899839062	0.5161731866452083
60	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	E_d7	0.0005870595223321244	0.0013698055521082903
61	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	FR_d13	0.1862887235886853	0.30682848591077583
62	uncl. bact. (F082)	2.9490290421777633e-21	RF_d0	FL_d7	0.0018874766333079906	0.003523289715508249
63	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	FL_d13	1.482814511037173e-07	6.919801051506807e-07
64	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	E_d13	1.2985130000941422e-05	4.544795500329498e-05
65	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	RSP_d0	0.6655440707750492	0.7454093592680551
66	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	E_d7	7.120044250010763e-08	3.987224780006027e-07
67	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	FR_d13	0.36883689718231827	0.5161731866452083
68	uncl. bact. (F082)	2.9490290421777633e-21	SAM_d13	FL_d7	7.368584723239265e-07	2.947433889295706e-06
69	uncl. bact. (F082)	2.9490290421777633e-21	FL_d13	E_d13	0.3771955232544476	0.5161731866452083
70	uncl. bact. (F082)	2.9490290421777633e-21	FL_d13	RSP_d0	5.7114740355623856e-05	0.0001599212729957468
