,Methanosarcina,Methanobacteriaceae,Nitrososphaeraceae,Candidatus Nitrocosmicus,Methanomethylophilaceae,Methanimicrococcus,Candidatus Methanomethylophilus,Methanobacteriaceae uncl,Methanosphaera,Methanomicrobium,Methanomethylophilaceae uncl,Methanobrevibacter
RF,0.0009899519873286145,0.0,0.0,0.006929663911300302,0.0,0.006929663911300302,0.03167846359451566,0.14552294213730632,2.7184081572043755,3.9776270850863735,7.833490075731326,85.27842399643617
RSP,0.0,0.0,0.0027512965484984796,0.008253889645495439,0.0,0.004126944822747719,0.0137564827424924,0.13894047569917323,3.300180209923927,5.97168915851595,11.998404248001872,78.56189729409984
E_d7_Trt1,0.0,0.0,0.003712365890782196,0.0,0.007424731781564392,0.0,0.02413037829008427,0.05011693952555964,1.9267178973159593,4.844637487470766,8.057690165942756,85.08557003378253
E_d7_Trt2,0.0,0.0,0.00401977730433734,0.0,0.0,0.0,0.014069220565180687,0.028138441130361375,1.3446155083008402,4.043895968163364,5.4367488041162515,89.12851228041967
E_d7_Trt3,0.0,0.002013449844964362,0.0,0.0,0.0,0.002013449844964362,0.02214794829460798,0.02214794829460798,1.3268634478315147,3.583940724036564,5.136310554504087,89.90456247734869
E_d7_Trt4,0.0,0.0,0.0,0.0,0.0,0.0,0.01719605964576117,0.044218439089100156,1.562384847814872,3.874026580195052,7.195322671776353,87.30685140147885
E_d7_Trt5,0.0,0.0,0.0,0.0,0.0,0.0,0.02392853344677231,0.02126980750824205,1.2761884504945231,4.160906093799851,6.816973306391577,87.70073380835903
FL_d7_Trt1,0.0,0.0,0.0,0.0,0.001686994955885082,0.001686994955885082,0.030365909205931473,0.08603674275013917,2.1138046797240078,4.995192064375727,10.326096124972587,82.44513048905984
FL_d7_Trt2,0.0,0.0,0.0,0.0,0.0038051750380517506,0.0,0.01141552511415525,0.039954337899543384,1.9254185692541856,4.834474885844749,8.299086757990867,84.88584474885845
FL_d7_Trt3,0.0,0.0,0.0,0.0,0.0,0.0,0.030561724496240908,0.030561724496240908,1.6401458812982619,4.227705221979992,6.631894215684277,87.43913123204499
FL_d7_Trt4,0.0,0.0,0.0,0.002069108214359611,0.002069108214359611,0.0,0.04345127250155183,0.06000413821642873,1.740120008276433,5.141733912683633,9.381336643906476,83.62921580798675
FL_d7_Trt5,0.0,0.0,0.0,0.0,0.0,0.0,0.02351588628762542,0.04703177257525084,1.836852006688963,5.223139632107023,8.193979933110368,84.67548076923077
E_d13_Trt1,0.0,0.002840747684790637,0.0,0.0,0.0,0.0,0.019885233793534456,0.04829271064144083,2.136242258962559,5.667291631157321,10.249417646724618,81.87602977103575
E_d13_Trt2,0.0,0.0,0.0,0.0,0.0024361129381958147,0.0,0.04385003288752467,0.029233355258349778,1.7978513483885115,5.60549587078857,9.159784647616263,83.36134863212258
E_d13_Trt3,0.0,0.0,0.0,0.0,0.0,0.0,0.02312539746776898,0.04046944556859571,2.500433601202521,7.2411400820951615,11.15222292883159,79.04260854483437
E_d13_Trt4,0.0,0.006017752369489995,0.0,0.0,0.0030088761847449977,0.0,0.02407100947795998,0.045133142771174965,1.504438092372499,5.608545208364676,9.811945238453438,82.99684068000602
E_d13_Trt5,0.0,0.0,0.0,0.0,0.0,0.0,0.04784809489032713,0.01259160391850714,1.9164421163967864,6.754136341887229,9.755974716059331,81.51300712684781
FL_d13_Trt1,0.0,0.005336464058914563,0.0026682320294572816,0.0026682320294572816,0.0026682320294572816,0.0,0.01600939217674369,0.10406104914883398,2.526815731896046,5.1390148887347245,11.201238059661668,80.99951971823471
FL_d13_Trt2,0.0,0.0,0.0,0.0,0.0026932399676811206,0.0,0.037705359547535684,0.03501211957985457,1.9714516563425801,6.140587126312955,9.418260166980879,82.39429033126852
FL_d13_Trt3,0.0,0.0026238455079764904,0.0,0.0,0.0026238455079764904,0.0,0.03935768261964736,0.031486146095717885,1.7632241813602016,6.307724601175482,9.18870696893367,82.66425272879933
FL_d13_Trt4,0.0,0.0,0.0,0.0,0.0,0.0,0.05255723811713694,0.03613310120553165,1.9511874650987089,7.13464507440134,12.975068160168183,77.8504089610091
FL_d13_Trt5,0.0,0.00451304269338388,0.0,0.0,0.00225652134669194,0.00225652134669194,0.024821734813611336,0.03159129885368716,1.9767126997021391,7.011011824171856,10.418359057676687,80.52847729939525
FR_d13_Trt1,0.0,0.0,0.0,0.0,0.0,0.004646552258224398,0.01084195526919026,0.03097701505482932,2.5122359209466576,19.469053961960224,10.78774549284431,67.18449910166656
FR_d13_Trt2,0.0,0.0,0.0,0.0,0.0,0.0,0.013275083874393568,0.010861432260867467,3.375491781516256,22.252661050903914,11.241582389997827,63.10612826144675
FR_d13_Trt3,0.005761032377001959,0.0,0.0011522064754003918,0.0,0.0011522064754003918,0.004608825901601567,0.010369858278603527,0.023044129508007837,2.542919691208665,15.740292660444752,10.179744210162461,71.4909551791681
FR_d13_Trt4,0.0014171130572797096,0.0014171130572797096,0.0014171130572797096,0.0,0.0,0.0042513391718391295,0.011336904458237677,0.03542782643199274,2.8625683757050138,19.444208258934896,8.84278547742539,68.7951704787008
FR_d13_Trt5,0.0010082068033795092,0.0010082068033795092,0.0010082068033795092,0.0,0.0020164136067590183,0.0030246204101385277,0.007057447623656565,0.018147722460831166,3.1466134333474485,13.12584437319783,7.425443106890086,76.2688282620531
SAM_d13_Trt1,0.0,0.0,0.002235736004292613,0.0,0.002235736004292613,0.002235736004292613,0.020121624038633518,0.029064568055803968,2.548739044893579,10.937220532999463,12.7123949204078,73.74575210159185
SAM_d13_Trt2,0.0,0.0,0.0,0.0,0.0,0.0,0.018769272020378067,0.02681324574339724,2.434642713500469,11.07118916744872,11.789784153371766,74.65880144791527
SAM_d13_Trt3,0.003349522693016245,0.0,0.0,0.0,0.0,0.0,0.010048568079048735,0.02009713615809747,1.530731870708424,9.114051247697203,7.713950762016412,81.6077708926478
SAM_d13_Trt4,0.0,0.002288172436674828,0.0,0.0,0.0,0.004576344873349656,0.01144086218337414,0.025169896803423106,1.6932476031393726,10.239571654119855,9.724732855868018,78.29897261057593
SAM_d13_Trt5,0.0025969304282338276,0.0,0.0025969304282338276,0.0,0.0,0.0,0.018178512997636793,0.007790791284701483,2.648869036798504,10.151401043966032,9.800815436154465,77.3677513179422
