TYPE	ACCESSION	ALIAS
SAMPLE	ERS10595770	B1000
SAMPLE	ERS10595771	B1001
SAMPLE	ERS10595772	B1002
SAMPLE	ERS10595773	B1003
SAMPLE	ERS10595774	B1004
SAMPLE	ERS10595775	B1005
SAMPLE	ERS10595776	B1006
SAMPLE	ERS10595777	B1007
SAMPLE	ERS10595778	B1008
SAMPLE	ERS10595779	B1009
SAMPLE	ERS10595780	B1010
SAMPLE	ERS10595781	B1011
SAMPLE	ERS10595782	B1012
SAMPLE	ERS10595783	B1013
SAMPLE	ERS10595784	B1014
SAMPLE	ERS10595785	B1015
SAMPLE	ERS10595786	B1016
SAMPLE	ERS10595787	B1017
SAMPLE	ERS10595788	B1018
SAMPLE	ERS10595789	B1019
SAMPLE	ERS10595790	B1020
SAMPLE	ERS10595791	B1021
SAMPLE	ERS10595792	B1022
SAMPLE	ERS10595793	B1023
SAMPLE	ERS10595794	B1024
SAMPLE	ERS10595795	B1025
SAMPLE	ERS10595796	B1026
SAMPLE	ERS10595797	B1027
SAMPLE	ERS10595798	B1028
SAMPLE	ERS10595799	B1029
SAMPLE	ERS10595800	B1030
SAMPLE	ERS10595801	B1031
SAMPLE	ERS10595802	B1032
SAMPLE	ERS10595803	B1033
SAMPLE	ERS10595804	B1034
SAMPLE	ERS10595805	B1035
SAMPLE	ERS10595806	B1036
SAMPLE	ERS10595807	B1037
SAMPLE	ERS10595808	B1038
SAMPLE	ERS10595809	B1039
SAMPLE	ERS10595810	B1040
SAMPLE	ERS10595811	B1041
SAMPLE	ERS10595812	B1042
SAMPLE	ERS10595813	B1043
SAMPLE	ERS10595814	B1044
SAMPLE	ERS10595815	B1045
SAMPLE	ERS10595816	B1046
SAMPLE	ERS10595817	B1047
SAMPLE	ERS10595818	B1048
SAMPLE	ERS10595819	B1049
SAMPLE	ERS10595820	B1050
SAMPLE	ERS10595821	B1051
SAMPLE	ERS10595822	B1052
SAMPLE	ERS10595823	B1053
SAMPLE	ERS10595824	B1054
SAMPLE	ERS10595825	B1055
SAMPLE	ERS10595826	B1056
SAMPLE	ERS10595827	B1057
SAMPLE	ERS10595828	B1058
SAMPLE	ERS10595829	B1059
SAMPLE	ERS10595830	B1060
SAMPLE	ERS10595831	B1061
SAMPLE	ERS10595832	B1062
SAMPLE	ERS10595833	B1063
SAMPLE	ERS10595834	B1064
SAMPLE	ERS10595835	B1065
SAMPLE	ERS10595836	B1066
SAMPLE	ERS10595837	B1067
SAMPLE	ERS10595838	B1068
SAMPLE	ERS10595839	B1069
SAMPLE	ERS10595840	B1070
SAMPLE	ERS10595841	B1071
SAMPLE	ERS10595842	B1072
SAMPLE	ERS10595843	B1073
SAMPLE	ERS10595844	B1074
SAMPLE	ERS10595845	B1075
SAMPLE	ERS10595846	B1076
SAMPLE	ERS10595847	B2000
SAMPLE	ERS10595848	B2001
SAMPLE	ERS10595849	B2002
SAMPLE	ERS10595850	B2003
SAMPLE	ERS10595851	B2004
SAMPLE	ERS10595852	B2005
SAMPLE	ERS10595853	B2006
SAMPLE	ERS10595854	B2007
SAMPLE	ERS10595855	B2008
SAMPLE	ERS10595856	B2009
SAMPLE	ERS10595857	B2010
SAMPLE	ERS10595858	B2011
SAMPLE	ERS10595859	B2012
SAMPLE	ERS10595860	B2013
SAMPLE	ERS10595861	B2026
SAMPLE	ERS10595862	B2027
SAMPLE	ERS10595863	B2028
SAMPLE	ERS10595864	B2029
SAMPLE	ERS10595865	B2030
SAMPLE	ERS10595866	B2031
SAMPLE	ERS10595867	B2032
SAMPLE	ERS10595868	B2033
SAMPLE	ERS10595869	B2034
SAMPLE	ERS10595870	B2035
SAMPLE	ERS10595871	B2036
SAMPLE	ERS10595872	B2037
SAMPLE	ERS10595873	B2038
SAMPLE	ERS10595874	B2039
SAMPLE	ERS10595875	B2040
SAMPLE	ERS10595876	B2041
SAMPLE	ERS10595877	B2042
SAMPLE	ERS10595878	B2043
SAMPLE	ERS10595879	B2044
SAMPLE	ERS10595880	B2045
SAMPLE	ERS10595881	B2046
SAMPLE	ERS10595882	B2047
SAMPLE	ERS10595883	B2048
SAMPLE	ERS10595884	B2049
SAMPLE	ERS10595885	B2050
SAMPLE	ERS10595886	B2051
SAMPLE	ERS10595887	B2052
SAMPLE	ERS10595888	B2053
SAMPLE	ERS10595889	B2054
SAMPLE	ERS10595890	B2055
SAMPLE	ERS10595891	B2056
SAMPLE	ERS10595892	B2057
SAMPLE	ERS10595893	B2058
SAMPLE	ERS10595894	B2059
SAMPLE	ERS10595895	B2060
SAMPLE	ERS10595896	B2061
SAMPLE	ERS10595897	B2062
SAMPLE	ERS10595898	B2063
SAMPLE	ERS10595899	B2064
SAMPLE	ERS10595900	B2065
SAMPLE	ERS10595901	B2066
SAMPLE	ERS10595902	B2067
SAMPLE	ERS10595903	B2068
SAMPLE	ERS10595904	A1048
SAMPLE	ERS10595905	A1049
SAMPLE	ERS10595906	A1050
SAMPLE	ERS10595907	A1051
SAMPLE	ERS10595908	A1052
SAMPLE	ERS10595909	A1053
SAMPLE	ERS10595910	A1054
SAMPLE	ERS10595911	A1055
SAMPLE	ERS10595912	A1056
SAMPLE	ERS10595913	A1057
SAMPLE	ERS10595914	A1058
SAMPLE	ERS10595915	A1059
SAMPLE	ERS10595916	A1060
SAMPLE	ERS10595917	A1061
SAMPLE	ERS10595918	A1062
SAMPLE	ERS10595919	A1063
SAMPLE	ERS10595920	A1064
SAMPLE	ERS10595921	A1065
SAMPLE	ERS10595922	A1066
SAMPLE	ERS10595923	A1067
SAMPLE	ERS10595924	A1068
