Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
A1000	29749	2019-14-1000	Mibi	8/21/2019	SP d0-C1-Run1	Rumen solid phase from day 0 (start)	From cow 1 Run 1	
A1001	27063	2019-14-1001	Mibi	8/21/2019	SP d0-C2-Run1	Rumen solid phase from day 0 (start)	From cow 2 Run 1	
A1002	30436	2019-14-1002	Mibi	8/21/2019	SP d0-C3-Run1	Rumen solid phase from day 0 (start)	From cow 3 Run 1	
A1003	14517	2019-14-1003	Mibi	8/21/2019	RF d0-C1-Run1	Rumen fluid from day 0 (start)	From cow 1 Run 1	
A1004	31197	2019-14-1004	Mibi	8/21/2019	RF d0-C2-Run1	Rumen fluid from day 0 (start)	From cow 2 Run 1	
A1005	34167	2019-14-1005	Mibi	8/21/2019	RF d0-C3-Run1	Rumen fluid from day 0 (start)	From cow 3 Run 1	
A1006	29553	2019-14-1006	Mibi	8/21/2019	RF d0-mixed-Run1	Rumen fluid from day 0 (start)	From cow 1-3 and mixed with buffer Run 1	
A1007	25546	2019-14-1007	Mibi	9/3/2019	Feed residue d13 (24h) Trt1-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 1 Run 1 Heat pump 1	e
A1008	40004	2019-14-1008	Mibi	9/3/2019	Feed residue d13 (48h) Trt1-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 1 Run 1 Heat pump 1	e
A1009	31780	2019-14-1009	Mibi	9/3/2019	Feed residue d13 (24h) Trt1-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 1 Run 1 Heat pump 2	j
A1010	41946	2019-14-1010	Mibi	9/3/2019	Feed residue d13 (48h) Trt1-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 1 Run 1 Heat pump 2	j
A1011	35243	2019-14-1011	Mibi	9/3/2019	Feed residue d13 (24h) Trt2-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 2 Run 1 Heat pump 1	d
A1012	41027	2019-14-1012	Mibi	9/3/2019	Feed residue d13 (48h) Trt2-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 2 Run 1 Heat pump 1	d
A1013	40282	2019-14-1013	Mibi	9/3/2019	Feed residue d13 (24h) Trt2-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 2 Run 1 Heat pump 2	h
A1014	44961	2019-14-1014	Mibi	9/3/2019	Feed residue d13 (48h) Trt2-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 2 Run 1 Heat pump 2	h
A1015	25973	2019-14-1015	Mibi	9/3/2019	Feed residue d13 (24h) Trt3-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 3 Run 1 Heat pump 1	a
A1016	24270	2019-14-1016	Mibi	9/3/2019	Feed residue d13 (48h) Trt3-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 3 Run 1 Heat pump 1	a
A1017	32694	2019-14-1017	Mibi	9/3/2019	Feed residue d13 (24h) Trt3-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 3 Run 1 Heat pump 2	g
