Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
B1000	82111	2019-14-1000	Mibi	8/21/2019	SP d0-C1-Run1	Rumen solid phase from day 0 (start)	From cow 1 Run 1	
B1001	25008	2019-14-1001	Mibi	8/21/2019	SP d0-C2-Run1	Rumen solid phase from day 0 (start)	From cow 2 Run 1	
B1002	15114	2019-14-1002	Mibi	8/21/2019	SP d0-C3-Run1	Rumen solid phase from day 0 (start)	From cow 3 Run 1	
B1003	15799	2019-14-1003	Mibi	8/21/2019	RF d0-C1-Run1	Rumen fluid from day 0 (start)	From cow 1 Run 1	
B1004	57404	2019-14-1004	Mibi	8/21/2019	RF d0-C2-Run1	Rumen fluid from day 0 (start)	From cow 2 Run 1	
B1005	61952	2019-14-1005	Mibi	8/21/2019	RF d0-C3-Run1	Rumen fluid from day 0 (start)	From cow 3 Run 1	
B1006	49429	2019-14-1006	Mibi	8/21/2019	RF d0-mixed-Run1	Rumen fluid from day 0 (start)	From cow 1-3 and mixed with buffer Run 1	
B1007	48973	2019-14-1007	Mibi	9/3/2019	Feed residue d13 (24h) Trt1-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 1 Run 1 Heat pump 1	e
B1008	47516	2019-14-1008	Mibi	9/3/2019	Feed residue d13 (48h) Trt1-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 1 Run 1 Heat pump 1	e
B1009	56099	2019-14-1009	Mibi	9/3/2019	Feed residue d13 (24h) Trt1-Run1-HP2	Feed residue at day 13 from 24h bag	Treatment 1 Run 1 Heat pump 2	j
B1010	64787	2019-14-1010	Mibi	9/3/2019	Feed residue d13 (48h) Trt1-Run1-HP2	Feed residue at day 13 from 48h bag	Treatment 1 Run 1 Heat pump 2	j
B1011	51685	2019-14-1011	Mibi	9/3/2019	Feed residue d13 (24h) Trt2-Run1-HP1	Feed residue at day 13 from 24h bag	Treatment 2 Run 1 Heat pump 1	d
B1012	32497	2019-14-1012	Mibi	9/3/2019	Feed residue d13 (48h) Trt2-Run1-HP1	Feed residue at day 13 from 48h bag	Treatment 2 Run 1 Heat pump 1	d
