feature1	feature2	r	p	p_adj
Megasphaera	Valerate_d	0.7288601907577743	3.850643508245827e-21	2.7532101083957664e-18
Megasphaera	Butyrate_d	0.7165143271042387	3.5483146082713525e-20	1.2685224724570085e-17
Megasphaera	Propionate_d	-0.7086709008246846	1.3696579706527142e-19	3.264351496722302e-17
Coprococcus	Acetate_d	0.6236871865713483	2.7645853260198098e-14	4.94169627026041e-12
Bifidobacterium	Acetate_d	-0.6048125595446509	2.56336943988999e-13	3.665618299042686e-11
Bifidobacterium	Propionate_d	-0.5950679137422779	7.65000425732219e-13	9.116255073308944e-11
Megasphaera	IsoValerate_d	0.5801122738881863	3.82072072899088e-12	3.9025933160406846e-10
Megasphaera	Acetate_d	-0.5562532426281518	4.224549315559545e-11	3.5801581272081723e-09
Coprococcus	NH3N_d	0.5555847736511756	4.506492747534763e-11	3.5801581272081723e-09
Catenisphaera	Butyrate_d	-0.5214326842701358	1.019109240380953e-09	7.286631068723814e-08
Bifidobacterium	Valerate_d	0.5130198726152612	2.086088876963351e-09	1.355957770026178e-07
Syntrophococcus	Acetate_d	0.5058952220875422	3.7694133888766094e-09	2.2459421442056466e-07
Coprococcus	Valerate_d	-0.4992798366874449	6.450990941610025e-09	3.548045017885514e-07
Bifidobacterium	ph	-0.49516650943215024	8.958576547639821e-09	4.5752730225446225e-07
Bifidobacterium	Butyrate_d	0.48574920627045537	1.8695893626577293e-08	8.911709295335176e-07
Coprococcus	Propionate_d	0.483512817530928	2.2193005538467395e-08	9.917499350002617e-07
Catenisphaera	Propionate_d	0.4725195614495557	5.0656850559613585e-08	2.1305675382425714e-06
Treponema	Valerate_d	0.46382065797638916	9.538257008529262e-08	3.7888076450546787e-06
Coprococcus	Tot_gas	0.46062695450926966	1.1980370303750986e-07	4.508402509043134e-06
Catenisphaera	ph	0.4527297603328276	2.084422149205334e-07	7.451809183409069e-06
Coprococcus	VFA_d	0.43946794051193827	5.122621027801748e-07	1.7441304927991668e-05
Eubacterium_nodatum	Acetate_d	0.4348388765120893	6.949453535407462e-07	2.2585723990074253e-05
Muribaculaceae	IsoButyrate_d	0.43393029020860996	7.374287048300242e-07	2.292441408493336e-05
Erysipelotrichaceae_uncl	ph	-0.42508563963708434	1.302254980797503e-06	3.879634630292561e-05
Monoglobus	ph	-0.41800411775657403	2.0298031538334566e-06	5.8052370199636854e-05
Succinivibrio	Butyrate_d	-0.4157277640948201	2.3360974535559377e-06	6.344364583601735e-05
Prevotellaceae_uncl(UCG-001)	CH4_ml	-0.4153174367094389	2.395774038562893e-06	6.344364583601735e-05
Comamonas	ph	-0.41462886446468405	2.49917620224165e-06	6.381824945009927e-05
Catenisphaera	IsoValerate_d	-0.41308626955160205	2.7463830945449793e-06	6.771254871033312e-05
Syntrophococcus	Valerate_d	-0.41252726353751223	2.8415522168031112e-06	6.772366116714081e-05
Catenisphaera	Acetate_d	0.4074138443829675	3.869523093550727e-06	8.924867780286354e-05
Syntrophococcus	Propionate_d	0.4066450277656796	4.0516282929624675e-06	8.927614422216091e-05
Catenisphaera	Valerate_d	-0.4063630124040966	4.120437425638196e-06	8.927614422216091e-05
Muribaculaceae	Acetate_Propionate	0.4012213377307879	5.586318918215701e-06	0.0001174770007801243
Succinivibrio	Propionate_d	0.3992312993634985	6.276232812689892e-06	0.00012821447031637924
Fibrobacter	Valerate_d	0.39793985893188016	6.766201165589898e-06	0.00013438427314991047
Prevotellaceae_uncl(UCG-001)	IsoButyrate_d	-0.3972218654091927	7.0540063492064674e-06	0.00013631390647790876
Muribaculaceae	CH4_ml	0.39533148186959594	7.868032591585069e-06	0.00014804324481535063
Limosilactobacillus	CH4_ml	0.3922816026152639	9.370832091736366e-06	0.00017179858834850004
Methanosphaera	Acetate_d	0.39076182228855627	1.0217062170955284e-05	0.0001801186453442864
uncl(Family_XIII_AD3011)	ph	-0.39057063206544945	1.0328481761001038e-05	0.0001801186453442864
Syntrophococcus	NH3N_d	0.385864285627082	1.3460776275542323e-05	0.0002291536913574467
Treponema	Acetate_d	-0.38257661560094686	1.6158008058336516e-05	0.0002686738549235025
Pseudoramibacter	CH4_ml	0.38117365837069284	1.745729657356867e-05	0.0002836810693204909
Muribaculaceae	NH3N_d	0.37949495473404593	1.9141063692638584e-05	0.0003041302342274797
Prevotellaceae_uncl(UCG-001)	CH4_p	-0.3786903388561648	2.000117092682537e-05	0.00031088776549304653
Pseudoramibacter	Acetate_d	0.3758817818388825	2.3296729178119644e-05	0.0003544076885607563
Bifidobacterium	VFA_d	-0.3751220551530671	2.4272161733579234e-05	0.00036155407582310733
Olsenella	CH4_ml	0.37137307672071224	2.9673161897718032e-05	0.00043298593381364066
Prevotellaceae_uncl(UCG-001)	Tot_gas	-0.37011030451944554	3.1733119511841534e-05	0.0004537836090193339
Megasphaera	ph	-0.3680699880777713	3.534715851667494e-05	0.0004955533007729918
Fibrobacter	CH4_p	0.3668904502316058	3.7608932005234365e-05	0.0005171228150719725
Acetitomaculum	Acetate_Propionate	0.3656358677673493	4.016302012605061e-05	0.0005401494301967528
Pseudoramibacter	ph	0.36533722122606477	4.079450242045406e-05	0.0005401494301967528
Shuttleworthia	Butyrate_d	0.36348665656034346	4.491959454076809e-05	0.0005780179150034215
Clostridia_uncl(vadinBB60)	CH4_ml	-0.36333631297018054	4.527133320306518e-05	0.0005780179150034215
Shuttleworthia	Valerate_d	0.3624944520686288	4.7289039403126236e-05	0.0005931870732146538
Muribaculaceae	Tot_gas	0.36157232981283405	4.959553969819533e-05	0.0006113932911070632
Treponema	Propionate_d	-0.3595023390689222	5.5162052620138354e-05	0.0006684892817525241
Olsenella	CH4_p	0.35774965421769195	6.032664128008815e-05	0.0007188924752543838
Shuttleworthia	CH4_p	0.35532376328874804	6.822363760832128e-05	0.0007936712497263878
Bifidobacterium	NH3N_d	-0.3551508598466624	6.882184263361684e-05	0.0007936712497263878
Methanimicrococcus	Acetate_Propionate	-0.3540280245173099	7.282738411425547e-05	0.0008265330101855979
Methanosphaera	CH4_ml	0.3532069479775838	7.589309742240346e-05	0.0008478681977659137
