feature1	feature2	r	p	p_adj
Megasphaera	Propionate_d	-0.7936236690590379	1.0065529497989524e-09	7.19685359106251e-07
Catenisphaera	Butyrate_d	-0.7826984459297076	2.4190477887155615e-09	8.648095844658133e-07
Megasphaera	Valerate_d	0.7446205461179384	3.612134544298394e-08	7.406748997537361e-06
Catenisphaera	IsoValerate_d	-0.7424898336232335	4.143635802818104e-08	7.406748997537361e-06
Megasphaera	Butyrate_d	0.7292154189383574	9.467074636996195e-08	1.3537916730904559e-05
Treponema	Acetate_d	-0.6942203162199434	6.758932387117425e-07	8.054394427981598e-05
Methanosphaera	Acetate_Propionate	0.6743745113973444	1.8320548109633517e-06	0.00016961952825515935
Shuttleworthia	Propionate_d	-0.6736437048633932	1.8978408755822026e-06	0.00016961952825515935
Megasphaera	Acetate_d	-0.6623314241769123	3.236703852032849e-06	0.000257138139355943
Candidatus_Saccharimonas	NH3N_d	0.659095201650683	3.7552971521945513e-06	0.0002685037463819104
Prevotellaceae_uncl(UCG-001)	IsoButyrate_d	-0.6531998157162551	4.9006787215408896e-06	0.0002936688690679067
Comamonas	Propionate_d	-0.6530721072437818	4.928708292048784e-06	0.0002936688690679067
Comamonas	ph	-0.6370811209539659	9.862946332057816e-06	0.0005424620482631799
Comamonas	Butyrate_d	0.6260179505937657	1.558216546708044e-05	0.0007958034506401796
Bacteroidales_uncl	ph	0.620450632267031	1.9485600919492332e-05	0.0009288136438291344
Prevotellaceae_uncl(UCG-001)	NH3N_d	-0.6167167505619215	2.258337924286985e-05	0.0009811255306288206
Shuttleworthia	Butyrate_d	0.6149225823955167	2.4226272178184872e-05	0.0009811255306288206
Shuttleworthia	Acetate_d	-0.6137312933317742	2.537658419856149e-05	0.0009811255306288206
Prevotellaceae_uncl(UCG-001)	CH4_ml	-0.6130349126093071	2.6071867247479148e-05	0.0009811255306288206
Prevotellaceae_uncl(UCG-003)	Valerate_d	-0.607538533259604	3.2199945866359427e-05	0.0011511480647223495
Methanosphaera	IsoButyrate_d	0.6025958071568625	3.880239949422693e-05	0.0013211293161129645
Bifidobacterium	Acetate_d	-0.5963184247514938	4.895708428984522e-05	0.0015911052394199695
Methanobrevibacter	ph	-0.5921090662109506	5.7060982356165054e-05	0.0017007191539933548
Lactobacillus	Butyrate_d	0.5915274936902232	5.827166815163783e-05	0.0017007191539933548
Erysipelotrichaceae_uncl	ph	-0.5909645700767624	5.946570468508234e-05	0.0017007191539933548
Treponema	Propionate_d	-0.5883181020414797	6.538256021000094e-05	0.001798020405775026
Shuttleworthia	IsoValerate_d	0.5866278937647522	6.943596883084655e-05	0.0018387673227427883
Prevotellaceae_uncl(UCG-001)	CH4_p	-0.5830322426499107	7.8827159089903e-05	0.0020129078124743087
Megasphaera	IsoValerate_d	0.5774428602016664	9.572786070086834e-05	0.002308024692331836
Clostridia_uncl(vadinBB60)	NH3N_d	-0.5771072126672209	9.684019688105607e-05	0.002308024692331836
Prevotella_7	Propionate_d	-0.5698334662995066	0.00012400942213423435	0.002859521002201509
Treponema	Valerate_d	0.5688944022105076	0.0001279785623362913	0.002859521002201509
Clostridia_uncl(vadinBB60)	CH4_ml	-0.5656437712594868	0.0001426206506342308	0.0030901140970750005
Clostridia_uncl(vadinBB60)	VFA_d	-0.5638078258421695	0.00015154350747204553	0.0031868708188974282
Acetitomaculum	ph	-0.5604367594469751	0.00016924961189094013	0.0034575277857720626
Prevotellaceae_uncl(UCG-003)	Propionate_d	0.557787058940774	0.00018445403054291034	0.0036634619955050246
Prevotellaceae_uncl(UCG-003)	IsoValerate_d	-0.5564058767347815	0.00019285821687984266	0.0037268547315969596
Catenisphaera	Valerate_d	-0.5534332177895467	0.00021212785600091498	0.003939842253094632
Shuttleworthia	Valerate_d	0.5530256947810134	0.00021490048653243448	0.003939842253094632
Pseudoscardovia	Acetate_d	0.5503683204106209	0.00023379490706606606	0.004179083963805931
Pseudoscardovia	Acetate_Propionate	0.5486590873601609	0.00024672494344392653	0.004302642306400182
Ruminobacter	IsoButyrate_d	-0.5445243371904623	0.00028070395943237804	0.00477865073795596
Bifidobacterium	Propionate_d	-0.5418683923009722	0.00030469193876296905	0.0050663892143144856
Prevotella_7	Valerate_d	0.5397034833707999	0.0003255899842992479	0.005290837244862778
Catenisphaera	Propionate_d	0.5385192925836499	0.0003375574403106559	0.005363412662713754
Comamonas	IsoValerate_d	0.5364851638161073	0.00035903867180934985	0.005469005868492299
Methanimicrococcus	ph	0.5364425894324889	0.0003595010850617315	0.005469005868492299
Prevotellaceae_uncl(UCG-003)	Butyrate_d	-0.5342279365895422	0.0003843044303473485	0.005724534743715712
Prevotella_7	Acetate_d	-0.5279602269725127	0.00046302728803115646	0.006756418590658711
Bifidobacterium	ph	-0.5266425414773268	0.0004813069882308976	0.006882689931701835
Coprococcus	NH3N_d	0.5183898754091788	0.0006112213448860462	0.008569083560657314
Coprococcus	Acetate_d	0.5057294941052793	0.0008717345237432894	0.011752861074852818
Treponema	VFA_d	-0.5056996813225483	0.0008724495889343113	0.011752861074852818
uncl(UCG-010)	Propionate_d	-0.5043633381490014	0.000905042730123362	0.011752861074852818
Comamonas	Acetate_d	-0.503702158689039	0.0009215655310229624	0.011752861074852818
Syntrophococcus	Valerate_d	-0.503332742960885	0.0009309134713234523	0.011752861074852818
Izemoplasmatales	Acetate_d	-0.5030962745737716	0.000936941372400854	0.011752861074852818
Candidatus_Saccharimonas	Valerate_d	-0.5021356937123221	0.0009617861021003968	0.011836792034536206
Methanosphaera	IsoValerate_d	0.5014085059631613	0.0009809817912713658	0.011836792034536206
Acetitomaculum	IsoValerate_d	0.5007746782931078	0.0009979898244400548	0.011836792034536206
Ruminobacter	Butyrate_d	-0.5000703713263789	0.0010171958309776973	0.011836792034536206
Streptococcus	IsoButyrate_d	-0.4987139386103597	0.0010551117531830535	0.011836792034536206
Izemoplasmatales	Propionate_d	-0.49842835056528556	0.0010632527226554116	0.011836792034536206
uncl(Family_XIII_AD3011)	ph	-0.4980257417291426	0.0010748241675627174	0.011836792034536206
Prevotella	CH4_ml	-0.4979825554524186	0.0010760720031396552	0.011836792034536206
Lachnospiraceae_uncl(NK3A20)	IsoValerate_d	0.4970189855713071	0.0011042500297279933	0.011962708655386593
Coprococcus	Tot_gas	0.49495155022187093	0.0011669278743827412	0.012413925276247462
Comamonas	Valerate_d	0.49451289356107997	0.0011806250612375207	0.012413925276247462
Eubacterium_nodatum	Acetate_d	0.48754164569652914	0.0014182741203942345	0.014382206483423839
Monoglobus	CH4_ml	-0.4873551401914114	0.00142517489819584	0.014382206483423839
uncl(Family_XIII_AD3011)	IsoValerate_d	0.48727462489945184	0.0014281631612910386	0.014382206483423839
uncl(WPS-2)	CH4_p	-0.48504906748406923	0.0015129870620979894	0.015013475103491465
Clostridia_uncl(vadinBB60)	Acetate_d	-0.4843991935140026	0.0015385816309747054	0.015013475103491465
Clostridia_uncl(vadinBB60)	IsoButyrate_d	-0.48401624313166575	0.0015538421785431726	0.015013475103491465
Methanosphaera	NH3N_d	0.4826809434543117	0.0016081050849220092	0.015287942418052165
Bifidobacterium	VFA_d	-0.48227302596046295	0.0016250120612195309	0.015287942418052165
Selenomonas	Propionate_d	-0.48068710290140554	0.0016922446319332005	0.01571370015366543
Eubacterium_nodatum	Valerate_d	-0.479134420083531	0.001760434143565403	0.016137312982682863
uncl(WPS-2)	Valerate_d	-0.4779546420256925	0.0018138555661921523	0.016295126589125655
uncl(UCG-010)	IsoValerate_d	0.4777507603121299	0.0018232309470350384	0.016295126589125655
Lactobacillus	IsoValerate_d	0.47587317823190933	0.001911598889773314	0.016865936933773862
Lachnospiraceae_uncl(NK3A20)	Valerate_d	0.4754037135790211	0.0019342752847125268	0.016865936933773862
Acetitomaculum	Butyrate_d	0.4735138183788565	0.0020279773309102743	0.017469925200010193
uncl(UCG-010)	ph	-0.4698846651644623	0.002219174749072725	0.018455428018603504
Treponema	NH3N_d	-0.4693351270206556	0.002249466867692975	0.018455428018603504
Selenomonas	NH3N_d	-0.4691358029860125	0.0022605436680463607	0.018455428018603504
Streptococcus	VFA_d	-0.46903734490561116	0.002266032831771642	0.018455428018603504
Streptococcus	CH4_ml	-0.46894061067900167	0.0022714372945973546	0.018455428018603504
Lachnospiraceae_uncl(NK3A20)	Propionate_d	-0.46661348650686096	0.002404912157494163	0.0193203617147003
Lactobacillus	Propionate_d	-0.465562549251399	0.0024674142191727796	0.019602235185650414
Prevotella_7	ph	-0.4649992092540225	0.0025015010424334376	0.019654651047691298
uncl(WPS-2)	Butyrate_d	-0.46409465394889143	0.002557099210463297	0.019873107994361497
Candidatus_Saccharimonas	Acetate_d	0.46215924603960923	0.0026797127072164953	0.02060209231892252
Selenomonas	VFA_d	-0.4601811567856448	0.002810327024719814	0.021376423645475182
Clostridia_uncl(vadinBB60)	Tot_gas	-0.45884947649494173	0.0029013694231151874	0.02183662250028799
Candidatus_Saccharimonas	IsoButyrate_d	0.4567011300160534	0.0030536931960294883	0.022695096888798307
Izemoplasmatales	Valerate_d	0.45635449324327465	0.0030789152422565536	0.022695096888798307
Methanimicrococcus	Acetate_Propionate	-0.4557848124571902	0.003120762461309533	0.02276882816159506
Clostridia_uncl(UCG-014)	NH3N_d	0.4544345697981348	0.0032219402832300193	0.023269568712216804
uncl(UCG-010)	Butyrate_d	0.4525239276814888	0.0033700066962241825	0.024095547878002905
Catenisphaera	IsoButyrate_d	-0.45141313772453723	0.003458792461802933	0.024485510991971257
Coprococcus	Valerate_d	-0.4502490396325206	0.003554024572661633	0.024690224211684552
Candidatus_Saccharimonas	Tot_gas	0.45021584282329136	0.003556773557767145	0.024690224211684552
uncl(UCG-010)	Acetate_d	-0.44832278182732466	0.0037166382425370993	0.02542319415697877
Pseudoscardovia	NH3N_d	0.44804769938472455	0.0037403821425565902	0.02542319415697877
Prevotella_7	Butyrate_d	0.4477177883620037	0.0037690329799157335	0.02542319415697877
Prevotella_7	IsoValerate_d	0.44449670721160267	0.0040589747781838844	0.02712305576076147
Prevotellaceae_uncl(UCG-001)	Butyrate_d	-0.44313596697006663	0.004187179634017243	0.027610656423474364
Lactobacillus	Valerate_d	0.442906146224555	0.004209176993228959	0.027610656423474364
Bifidobacterium	CH4_ml	-0.44221119621303123	0.004276307372639938	0.027795997922159595
uncl(WPS-2)	CH4_ml	-0.44146640879647786	0.004349284184515479	0.02801565938674385
Streptococcus	NH3N_d	-0.44045052376345445	0.004450569211015382	0.02841211594532141
Prevotellaceae_uncl(UCG-003)	CH4_p	-0.4372595045067087	0.004782174162067608	0.029817646523811338
Pseudoramibacter	ph	0.4370463729544305	0.004805067231066948	0.029817646523811338
Treponema	Butyrate_d	0.43645916836966503	0.0048686334393118	0.029817646523811338
Prevotella	CH4_p	-0.43644725078472246	0.004869931065526111	0.029817646523811338
Lachnospiraceae_uncl(NK3A20)	Butyrate_d	0.43607188149158654	0.004910956451752999	0.029817646523811338
Prevotella	ph	-0.43598081735136973	0.004920954251482151	0.029817646523811338
Acinetobacter	ph	-0.4350632325412838	0.005022684339200409	0.030178313466624307
Pseudoscardovia	VFA_d	0.4327202777517125	0.005290758210656306	0.03152410100516049
Ruminobacter	ph	0.431380257488297	0.00544958474352539	0.03198882812212892
Prevotellaceae_uncl(UCG-001)	IsoValerate_d	-0.43099246346536785	0.005496311791095805	0.03198882812212892
Prevotellaceae_uncl(UCG-001)	VFA_d	-0.43093741202965186	0.005502973229401199	0.03198882812212892
Ruminobacter	NH3N_d	-0.42991885960440374	0.0056274895417910585	0.03244883082565006
Coprococcus	Propionate_d	0.42821598205930533	0.005841113350254648	0.03341116836345659
Muribaculaceae	IsoValerate_d	0.4254331168151705	0.006205325551395295	0.03521276007339394
uncl(UCG-010)	Valerate_d	0.4229596471098536	0.006545349728518396	0.03684980358969018
Christensenellaceae_uncl(R-7)	Tot_gas	0.42064275142774377	0.006878314007853474	0.03842183215324402
Methanomicrobium	Acetate_Propionate	-0.4192826895903225	0.007080492114173171	0.03921823181419825
Negativicutes_uncl	VFA_d	-0.4186646652194348	0.007174042400508212	0.03921823181419825
Clostridia_uncl(vadinBB60)	Acetate_Propionate	-0.4185898552761488	0.007185438276447512	0.03921823181419825
Monoglobus	Tot_gas	-0.41603716454002554	0.0075837477773662955	0.040954773028811176
Sphaerochaeta	CH4_ml	-0.41582207390307535	0.007618160577387254	0.040954773028811176
Prevotellaceae_uncl(UCG-001)	Acetate_Propionate	-0.413984802984157	0.007917623166225404	0.04224701913321764
uncl(NK4A214)	Butyrate_d	0.41340965653350215	0.008013423132256302	0.04244146325602412
Lachnospiraceae_uncl(NK3A20)	Acetate_d	-0.4129129129129129	0.008096963665646365	0.04256859574218493
Streptococcus	Tot_gas	-0.4111382262511347	0.00840156331983583	0.04384757499038408
Monoglobus	ph	-0.40993469356192225	0.008613683664779038	0.044628868263166754
Syntrophococcus	Acetate_d	0.40840840840840836	0.008889281683405364	0.0457254417527686
uncl(NK4A214)	IsoValerate_d	0.4063190063398188	0.009278792307075984	0.0473881178539952
Catenisphaera	ph	0.40557123797583833	0.009421699275516076	0.047776701999957406
Lactobacillus	Acetate_d	-0.40445695920190106	0.009638143879110543	0.04848518220089815
Clostridia_uncl(vadinBB60)	CH4_p	-0.4041574813636766	0.00969703644017963	0.04848518220089815
Pseudoramibacter	Butyrate_d	-0.40174509005995385	0.010182761494378632	0.05056023936444946
Catenisphaera	CH4_p	-0.40041290455781786	0.010459791161301732	0.05157759089883268
Methanomethylophilaceae_uncl	NH3N_d	-0.39812297502760996	0.010951026651366907	0.05363002777895438
uncl(F082)	ph	-0.39738356469149605	0.01111378834618244	0.053823397308469884
