feature1	feature2	r	p	p_adj
Megasphaera	Valerate_d	0.797559421812331	7.245192353584144e-10	3.6280657277388346e-07
Megasphaera	Propionate_d	-0.793524379221798	1.014843560206667e-09	3.6280657277388346e-07
Megasphaera	Butyrate_d	0.769026907433154	6.771010354135513e-09	1.6137574677356306e-06
Megasphaera	Acetate_d	-0.7329231859202467	7.552793459212602e-08	1.3500618308342526e-05
Bifidobacterium	Propionate_d	-0.7249698198379924	1.220735439258866e-07	1.7456516781401784e-05
Shuttleworthia	Butyrate_d	0.7158680632255043	2.0731454390886718e-07	2.135929441584004e-05
Methanomethylophilaceae_uncl	ph	0.7136472429595141	2.3518965367088365e-07	2.135929441584004e-05
Methanimicrococcus	ph	0.7133639371862074	2.389851123450634e-07	2.135929441584004e-05
Bifidobacterium	Acetate_d	-0.7084032527465095	3.1534876171856667e-07	2.3802178506700222e-05
Candidatus_Saccharimonas	Acetate_d	0.7074223546204843	3.328976014923108e-07	2.3802178506700222e-05
Methanobrevibacter	Valerate_d	-0.7000188833007697	4.975212106709136e-07	3.2338878693609384e-05
Shuttleworthia	Valerate_d	0.6881866872299999	9.228083228978738e-07	5.498399590599831e-05
Candidatus_Saccharimonas	Valerate_d	-0.6792453578345883	1.4445088437715605e-06	7.797863025207692e-05
Candidatus_Saccharimonas	NH3N_d	0.6781172640510874	1.5268542986420658e-06	7.797863025207692e-05
uncl(WPS-2)	Butyrate_d	-0.667714699702824	2.5176976302244567e-06	0.00012001025370736577
Coprococcus	Acetate_d	0.6564696084474785	4.231001633208502e-06	0.00018907288548400495
Shuttleworthia	IsoValerate_d	0.65437898023552	4.648703310388245e-06	0.00019133068088776216
Methanomicrobium	ph	0.6535864190184991	4.816716441929677e-06	0.00019133068088776216
Bifidobacterium	Valerate_d	0.6460010886409164	6.731230672735448e-06	0.00025330683847399186
Syntrophococcus	Acetate_d	0.6391404314265539	9.040056852083425e-06	0.00032318203246198247
uncl(WPS-2)	Valerate_d	-0.632505533598013	1.1942408935266312e-05	0.00038920677995808224
Prevotellaceae_uncl(UCG-003)	Valerate_d	-0.6324386210352088	1.1975593229479454e-05	0.00038920677995808224
Shuttleworthia	Propionate_d	-0.626566550932508	1.5239089460330582e-05	0.0004737369114841899
Methanosphaera	Acetate_d	0.6238382060027943	1.701621019682448e-05	0.0005069412621137293
Prevotellaceae_uncl(UCG-001)	Butyrate_d	-0.6197691901928415	2.0020236475329886e-05	0.0005725787631944346
Coprococcus	NH3N_d	0.610464005291249	2.879185705181089e-05	0.0007917760689247996
Prevotellaceae_uncl(UCG-003)	Butyrate_d	-0.5979265434264563	4.614814488935259e-05	0.0012220712442921149
Prevotellaceae_uncl(UCG-003)	Propionate_d	0.5868168118289336	6.897185930174119e-05	0.0017480952566149472
Methanobrevibacter	Acetate_d	0.5860386667265531	7.090176565291394e-05	0.0017480952566149472
Prevotellaceae_uncl(UCG-001)	IsoValerate_d	-0.5800789836841522	8.73860393755809e-05	0.0020827006051180115
Prevotellaceae_uncl(UCG-003)	Acetate_d	0.5771251743571931	9.678037671448482e-05	0.002232192559705053
Muribaculaceae	Acetate_d	0.572722156973886	0.00011248758418726534	0.00251339445918421
Megasphaera	IsoValerate_d	0.5672112044987984	0.0001353813570665946	0.0029332627364428827
Syntrophococcus	Valerate_d	-0.5627787406628101	0.00015676250719855498	0.0032966233131460827
Bifidobacterium	Butyrate_d	0.5593485574075496	0.00017535145079131538	0.003582179637594014
uncl(WPS-2)	Propionate_d	0.5580063850373237	0.00018315029614156343	0.0036375683817004957
uncl(NK4A214)	CH4_ml	0.5571455479552921	0.00018831551904284098	0.0036390701652873323
Christensenellaceae_uncl(R-7)	Acetate_d	0.5509476546619149	0.0002295527830328264	0.004074280210575598
Rikenellaceae_uncl(RC9_gut)	ph	0.5502742470193317	0.00023449037106849954	0.004074280210575598
Clostridia_uncl(vadinBB60)	IsoValerate_d	-0.5499437912966118	0.0002369481408932138	0.004074280210575598
Olsenella	CH4_p	0.5494227002522508	0.00024087089288953725	0.004074280210575598
Muribaculaceae	VFA_d	0.5489092194640453	0.0002447934219689244	0.004074280210575598
Bifidobacterium	ph	-0.5483095078256606	0.0002494473720242997	0.004074280210575598
uncl(Family_XIII_AD3011)	Acetate_Propionate	0.548146641180392	0.00025072493603542145	0.004074280210575598
uncl(F082)	Valerate_d	-0.5439272497623975	0.0002859436680211786	0.004543327169669838
Methanomethylophilaceae_uncl	IsoValerate_d	-0.5413753982026003	0.00030934191643860646	0.004713730535012022
Christensenellaceae_uncl(R-7)	NH3N_d	0.5405659531371678	0.00031711506093551567	0.004713730535012022
uncl(NK4A214)	Tot_gas	0.539504560500034	0.00032757329256735094	0.004713730535012022
uncl(Family_XIII_AD3011)	Acetate_d	0.5388766370720828	0.00033390518534165544	0.004713730535012022
Coprococcus	VFA_d	0.5386754995924318	0.00033595653218244773	0.004713730535012022
Prevotella_7	Valerate_d	0.538649341975121	0.00033622413606379455	0.004713730535012022
Methanosphaera	Propionate_d	0.5365476278178651	0.00035836119696013735	0.004927466458201889
Prevotella	IsoValerate_d	-0.5352735426653767	0.00037240901967495647	0.005024008472973469
Erysipelotrichaceae_uncl	Acetate_d	0.5346469675286932	0.00037949699811385583	0.005024821363914943
uncl(NK4A214)	Acetate_d	0.5337086611623739	0.0003903376487546747	0.005074389433810771
Methanobrevibacter	Butyrate_d	-0.5293427833064596	0.0004445179912659216	0.0056755422099131056
Pseudoscardovia	ph	-0.5267598678348776	0.0004796535773972534	0.006016707155070811
Prevotella	Butyrate_d	-0.5261528409752969	0.00048826324080229245	0.00601910719264895
Prevotellaceae_uncl(UCG-001)	IsoButyrate_d	-0.5234747974157253	0.0005279203173306882	0.006361313764860065
uncl(Family_XIII_AD3011)	NH3N_d	0.5230920959547165	0.000533816539708537	0.006361313764860065
Candidatus_Methanomethylophilus	Butyrate_d	-0.5205235309791275	0.0005749368044720888	0.0066921447595808935
Pseudoramibacter	CH4_p	0.5202008404037755	0.0005802978672643571	0.0066921447595808935
Lactobacillus	CH4_p	0.5168676536921633	0.0006383433397546536	0.0072446902845171015
Negativicutes_uncl	ph	0.5055121408340488	0.0008769597579146996	0.009797284795453285
Candidatus_Saccharimonas	Propionate_d	0.5015718156008653	0.000976641497769747	0.010587284553146383
uncl(F082)	Acetate_d	0.5012197498644327	0.0009860197169424228	0.010587284553146383
Succinivibrio	Butyrate_d	-0.5005629596062084	0.0010037291175363536	0.010587284553146383
Pseudoramibacter	CH4_ml	0.5002346118123095	0.0010126879923623832	0.010587284553146383
Candidatus_Saccharimonas	VFA_d	0.49941355907647544	0.0010354016908828902	0.010587284553146383
Ruminobacter	ph	0.4993736430818991	0.001036517368839506	0.010587284553146383
uncl(WPS-2)	IsoValerate_d	-0.4988262160522433	0.0010519263553740036	0.010593342874541022
Muribaculaceae	CH4_ml	0.49753671961006324	0.0010890294353937493	0.010812117696505108
uncl(Family_XIII_AD3011)	VFA_d	0.4966685457305408	0.0011146592332290785	0.010812117696505108
Bacteroidales_uncl	ph	0.4961136126695539	0.001131320642421722	0.010812117696505108
Clostridia_uncl(vadinBB60)	IsoButyrate_d	-0.49602048641206614	0.0011341382199131233	0.010812117696505108
Methanomethylophilaceae_uncl	Butyrate_d	-0.49462870499674844	0.001176995038479707	0.011073045427802505
Succiniclasticum	NH3N_d	0.4938289252324978	0.0012022666145927957	0.011163904278361675
uncl(WPS-2)	Acetate_d	0.4889014080081377	0.0013688492008019054	0.012547784340684133
uncl(NK4A214)	NH3N_d	0.4863444735014321	0.0014630889356781213	0.013241880873542491
Prevotellaceae_uncl(UCG-003)	IsoValerate_d	-0.48392408145212507	0.0015575347178557483	0.01392046654083575
Methanobrevibacter	Propionate_d	0.48247714205698383	0.0016165325346131066	0.014269392126523102
Erysipelotrichaceae_uncl	NH3N_d	0.4808071666823306	0.0016870701894533737	0.014710429090965392
Christensenellaceae_uncl(R-7)	Valerate_d	-0.4782242170042131	0.0018015245860552892	0.015513118738454323
Bifidobacterium	NH3N_d	-0.4777661832121007	0.0018225202433988295	0.015513118738454323
Coprococcus	Tot_gas	0.4772070440247645	0.0018484426233693926	0.01552647571093373
Syntrophococcus	Propionate_d	0.4767267288259135	0.0018709695559482736	0.01552647571093373
Muribaculaceae	NH3N_d	0.47618379780805425	0.0018967241968510633	0.01552647571093373
Treponema	Acetate_d	-0.4758866662883569	0.0019109508567303054	0.01552647571093373
Coprococcus	Propionate_d	0.4746692086517748	0.0019702293398962067	0.015828246944109975
Treponema	Valerate_d	0.4697766842210181	0.002225098495353745	0.01767717137975475
Coprococcus	Valerate_d	-0.46857255812948667	0.002292103786033703	0.01789139437734033
Prevotella_7	Propionate_d	-0.468096095322101	0.0023191029259464085	0.01789139437734033
Clostridia_uncl(UCG-014)	Acetate_d	0.4679553365820872	0.002327132415514197	0.01789139437734033
Christensenellaceae_uncl(R-7)	Propionate_d	0.46633827227211383	0.0024211440106184055	0.01841614859140596
Acinetobacter	IsoValerate_d	-0.46516282655832814	0.0024915584845741673	0.018697418259521755
Shuttleworthia	CH4_p	0.46460759361940207	0.0025254399537780097	0.018697418259521755
Prevotella	Valerate_d	-0.46442658012499444	0.0025365728268162383	0.018697418259521755
Fibrobacter	CH4_p	0.45980571640100437	0.0028357376805476326	0.0202124577369126
Rikenellaceae_uncl(RC9_gut)	Acetate_d	0.4596547275525751	0.002846013558721009	0.0202124577369126
Bifidobacterium	VFA_d	-0.45959272677525004	0.0028502425958398985	0.0202124577369126
Olsenella	CH4_ml	0.45952034998122065	0.00285518633766178	0.0202124577369126
Clostridia_uncl(UCG-014)	NH3N_d	0.4579755280190009	0.0029625126067839465	0.020766632488730608
Treponema	NH3N_d	-0.45206704796210717	0.0034062812197343945	0.02364554438941837
Methanomethylophilaceae_uncl	IsoButyrate_d	-0.44567455296602226	0.003950775661165727	0.02691862100602916
Shuttleworthia	Acetate_d	-0.445649130596961	0.003953084203682604	0.02691862100602916
Succinivibrio	Propionate_d	0.4443558302892271	0.004072087185278896	0.02746738054221142
Clostridia_uncl(vadinBB60)	Butyrate_d	-0.44379808789828784	0.0041243629905825235	0.027559995684733683
Succinivibrio	ph	0.44268603516398697	0.0042303392096365	0.02800641236009349
Lactobacillus	CH4_ml	0.4419630367780086	0.00430050362547324	0.02820972561663639
Syntrophococcus	Butyrate_d	-0.44093084357699164	0.004402427973135472	0.028615781825380566
Prevotella_7	Acetate_d	-0.4399249398487677	0.004503770970219724	0.029010776970334256
Methanomicrobium	Acetate_Propionate	-0.4377003066140121	0.004735126659376512	0.030228710370126838
Candidatus_Methanomethylophilus	Valerate_d	-0.43523566128528685	0.005003429620739409	0.031658868839191834
Methanosphaera	Valerate_d	-0.4320935493840329	0.005364534971618615	0.033645986883397455
Prevotellaceae_uncl(YAB2003)	Tot_gas	-0.4312456135538502	0.005465769453040516	0.03374324639225768
Olsenella	Valerate_d	0.431173716523154	0.00547442878531733	0.03374324639225768
uncl(NK4A214)	Acetate_Propionate	0.42926337234925616	0.005708905160459142	0.03488775375836142
