feature1	feature2	r	p	p_adj
Coprococcus	Acetate_d	0.8044533456381611	4.0019813464604067e-10	
Catenisphaera	Butyrate_d	-0.7662334613599324	8.284524700363488e-09	
Catenisphaera	Propionate_d	0.7229351546000483	1.3766328171295718e-07	
Catenisphaera	Valerate_d	-0.6557248076148997	4.375684895490589e-06	
Eubacterium_nodatum	Acetate_d	0.6490045462336588	5.9023206271874185e-06	
Coprococcus	Propionate_d	0.638123452517483	9.438231540873948e-06	
Coprococcus	Tot_gas	0.6369410125189949	9.921351294360008e-06	
uncl(UCG-010)	Valerate_d	0.6344393197500698	1.1018978140496554e-05	
Megasphaera	Butyrate_d	0.6343519856892813	1.1059230627441534e-05	
Eubacterium_nodatum	Propionate_d	0.6309662033157575	1.2727516752303546e-05	
Coprococcus	NH3N_d	0.6285653958630365	1.4046673387341636e-05	
Catenisphaera	IsoValerate_d	-0.6221399311383524	1.82159796261562e-05	
Megasphaera	Valerate_d	0.6198910072147403	1.9923690808624194e-05	
uncl(UCG-010)	Butyrate_d	0.6168013640216423	2.250847192717848e-05	
Eubacterium_nodatum	Valerate_d	-0.6106532295061813	2.8583173686233138e-05	
Succinivibrio	Propionate_d	0.6080257789838132	3.160796236089795e-05	
Megasphaera	IsoValerate_d	0.5997226596814934	4.318467512069397e-05	
Pseudoramibacter	Propionate_d	0.593762121047586	5.374345633538383e-05	
Bifidobacterium	Valerate_d	0.5931304430157861	5.4989904821499564e-05	
Bifidobacterium	Butyrate_d	0.5927669674247105	5.571897498620451e-05	
Fibrobacter	Valerate_d	0.5896819360301566	6.226976300849564e-05	
Rikenellaceae_uncl(RC9_gut)	Butyrate_d	0.5863188397955168	7.020132536260078e-05	
Catenisphaera	Acetate_d	0.5850364010978562	7.345967830053337e-05	
Coprococcus	VFA_d	0.5839057219604991	7.644558318662127e-05	
Coprococcus	Valerate_d	-0.5678351531838499	0.00013259323317278799	
Fibrobacter	Butyrate_d	0.5671630032615186	0.00013559893355422957	
Pseudoramibacter	Acetate_d	0.566704606670734	0.0001376839439865637	
Catenisphaera	ph	0.558053005350843	0.00018287424534888327	
Methanomethylophilaceae_uncl	Acetate_d	-0.5514330086685145	0.00022605230033608009	
Bifidobacterium	Acetate_d	-0.5511174335505976	0.00022832278917105556	
Muribaculaceae	IsoButyrate_d	0.549972653526745	0.0002367325572969775	
Succinivibrio	Acetate_d	0.5463774156123478	0.0002649873089635443	
Bifidobacterium	Propionate_d	-0.5456598936588553	0.0002709764684745765	
Methanimicrococcus	Butyrate_d	0.5446011790435314	0.0002800359437039739	
Syntrophococcus	Acetate_d	0.5418510381601349	0.00030485455289478445	
Megasphaera	ph	-0.5357339998864804	0.0003672761272166436	
Pseudoramibacter	Valerate_d	-0.5306755338081452	0.000427305439225765	
Eubacterium_nodatum	Butyrate_d	-0.5176560439228783	0.0006241651290527563	
uncl(UCG-010)	Propionate_d	-0.5146644924644458	0.0006795002893207842	
Bifidobacterium	IsoValerate_d	0.5138660291333944	0.0006949904718626666	
Dialister	NH3N_d	0.513199067522333	0.0007081700095707337	
Lachnospiraceae_uncl(NK3A20)	Butyrate_d	0.5125846675854627	0.0007205075532700265	
Pseudoramibacter	Butyrate_d	-0.5123968388322251	0.0007243173162279539	
Megasphaera	CH4_p	0.5085619933932316	0.0008061278041673678	
Methanimicrococcus	ph	-0.5045278398340718	0.0009009729911235688	
Methanimicrococcus	Valerate_d	0.5025419825175951	0.0009512071916560116	
Muribaculaceae	Acetate_Propionate	0.500705459952971	0.000999862987741119	
Lachnospiraceae_uncl(NK3A20)	IsoValerate_d	0.4994367611365139	0.0010347536683021528	
Succinivibrio	Butyrate_d	-0.4973227415675286	0.0010952973491454862	
Clostridia_uncl(UCG-014)	Butyrate_d	0.4966428995964748	0.0011154244134404408	
Rhodospirillales_uncl	Butyrate_d	0.49478451172619803	0.0011721270031080457	
uncl(UCG-010)	IsoValerate_d	0.4923804834761689	0.0012492611526260155	
Megasphaera	Propionate_d	-0.4904180993448666	0.0013155236165598284	
Succinivibrio	Valerate_d	-0.4886601762238133	0.0013775047087796098	
Rikenellaceae_uncl(RC9_gut)	Valerate_d	0.4863841112437636	0.0014615853353953203	
uncl(F082)	NH3N_d	0.4788167027569708	0.0017746823541141842	
Methanomethylophilaceae_uncl	Valerate_d	0.47577559718391804	0.0019162929367126447	
Methanimicrococcus	Acetate_d	-0.47473270430918924	0.0019670981504953046	
Prevotellaceae_uncl(UCG-003)	ph	-0.47190724594593925	0.00211075079451385	
Syntrophococcus	NH3N_d	0.47158325443201754	0.0021277989876381472	
Sphaerochaeta	Butyrate_d	0.47155270916981523	0.0021294124878430895	
Rikenellaceae_uncl(RC9_gut)	IsoValerate_d	0.470036212706522	0.0022108843614904506	
Rikenellaceae_uncl(RC9_gut)	ph	-0.468947305417648	0.002271062900421563	
Syntrophococcus	Propionate_d	0.4618134021489638	0.002702157477673005	
Negativicutes_uncl	Valerate_d	0.46177023710993437	0.0027049703623586814	
Eubacterium_nodatum	NH3N_d	0.4550923598662194	0.0031722973855656876	
Rhodospirillales_uncl	ph	-0.45480595820477465	0.003193829070999433	
Lachnospiraceae_uncl(NK3A20)	IsoButyrate_d	0.45423565575012076	0.00323708529672516	
Muribaculaceae	NH3N_d	0.4509162592178654	0.003499164820505169	
Methanobacteriaceae_uncl	Acetate_Propionate	-0.4496878736307543	0.003600744161953713	
uncl(F082)	Tot_gas	0.44603133307633847	0.003918501038522708	
Pseudoramibacter	NH3N_d	0.4445699931641102	0.004052168089729778	
Methanimicrococcus	Propionate_d	-0.4412928858022499	0.004366441317573585	
Rikenellaceae_uncl(RC9_gut)	Propionate_d	-0.43943485618750344	0.0045538764464414	
Coprococcus	CH4_ml	0.4361562983874983	0.004901704193282139	
Dialister	CH4_ml	0.43534619736103275	0.004991120025594387	
Eubacterium_nodatum	Tot_gas	0.4325444312188427	0.005311369100907222	
Clostridia_uncl(UCG-014)	CH4_p	0.4296029489622399	0.0056666012785489	
Sphaerochaeta	IsoValerate_d	0.42786994212058405	0.00588537077259595	
Megasphaera	IsoButyrate_d	0.4257703409522889	0.006160171335562161	
Muribaculaceae	IsoValerate_d	0.4239925532739019	0.00640145124311455	
Izemoplasmatales	NH3N_d	0.42303178392390983	0.006535210163580843	
Negativicutes_uncl	IsoValerate_d	0.42134555574073285	0.006775804015443982	
Clostridia_uncl(UCG-014)	Valerate_d	0.42013219782331596	0.006953618409201701	
Treponema	Valerate_d	0.41921230168321283	0.00709109341519412	
uncl(UCG-010)	Acetate_d	-0.41784176602821216	0.007300255599204831	
Methanosphaera	Propionate_d	0.41550054469179554	0.007669853135688274	
Acetitomaculum	IsoButyrate_d	0.41380976263112895	0.007946674228564654	
Muribaculaceae	Tot_gas	0.41333990428304324	0.008025108932296326	
uncl(F082)	IsoButyrate_d	0.4129545874615124	0.008089926361340477	
Bacteroidales_uncl	Valerate_d	0.4123192965535521	0.008197776050831143	
Erysipelotrichaceae_uncl	Acetate_Propionate	0.4120931828087474	0.0082364588548179	
uncl(WPS-2)	Acetate_d	-0.41068212628538064	0.008481416450381191	
Syntrophococcus	Tot_gas	0.4095822687895611	0.008676660737813272	
Dialister	IsoButyrate_d	0.40772851698052226	0.00901446059157083	
Christensenellaceae_uncl(R-7)	IsoValerate_d	0.4077110408823586	0.009017698029345033	
Methanomethylophilaceae_uncl	Acetate_Propionate	-0.40710511496176244	0.00913056320713744	
Negativicutes_uncl	Butyrate_d	0.4065886329326102	0.009227720893094558	
Clostridia_uncl(UCG-014)	ph	-0.40611232571774725	0.009318104470855048	
Pseudoscardovia	VFA_d	0.4056530089552583	0.009405980739850994	
Christensenellaceae_uncl(R-7)	Butyrate_d	0.40556033936716157	0.00942379597208712	
Rhodospirillales_uncl	Valerate_d	0.40453754253303575	0.009622349440683903	
Muribaculaceae	CH4_ml	0.4007889495981207	0.010380947999533702	
Clostridia_uncl(UCG-014)	IsoValerate_d	0.40054172836209906	0.01043272405955661	
Pseudoramibacter	Tot_gas	0.397407242410014	0.011108544543378965	
Methanomethylophilaceae_uncl	Propionate_d	-0.39361231794226165	0.011976377334393665	
Candidatus_Saccharimonas	NH3N_d	0.39356071431261624	0.01198856457485893	
Prevotellaceae_uncl(UCG-003)	Valerate_d	0.3927960983296089	0.01217038405515017	
Methanosphaera	Acetate_d	0.39126379575883524	0.012541818913326971	
Negativicutes_uncl	Propionate_d	-0.3911559450222918	0.012568321160524604	
Coprococcus	Acetate_Propionate	0.39035208646265335	0.012767356933051902	
Candidatus_Saccharimonas	Tot_gas	0.3903081464257351	0.012778313223078364	
Lactobacillus	IsoButyrate_d	0.3899415843990992	0.012870025670845029	
Fibrobacter	ph	-0.38936144522090543	0.013016316287561398	
Fibrobacter	IsoValerate_d	0.3890019696359176	0.013107669646814464	
Dialister	Tot_gas	0.3885395100260607	0.013225993994027406	
uncl(F082)	CH4_ml	0.38801779281617493	0.013360566484208143	
Methanobacteriaceae_uncl	IsoValerate_d	-0.3875129282680836	0.01349189582956195	
Dialister	Acetate_d	0.38703645582866775	0.013616841935340875	
uncl(NK4A214)	IsoButyrate_d	0.38628464784076316	0.013815984061297922	
Succinivibrio	ph	0.3859068620838758	0.013916981595110156	
Prevotellaceae_uncl(YAB2003)	NH3N_d	0.3855153163303792	0.01402231708248353	
uncl(UCG-010)	ph	-0.3844913669533343	0.014300981686313993	
Lactobacillus	NH3N_d	0.38438807856333135	0.014329349771724018	
Methanosphaera	Butyrate_d	-0.38388594797495723	0.014467939153898221	
Methanobacteriaceae_uncl	IsoButyrate_d	-0.3830182905103434	0.014710088361370858	
Negativicutes_uncl	Acetate_d	-0.3827137303815229	0.014795894945829807	
Prevotellaceae_uncl(UCG-003)	IsoValerate_d	0.38229128947683	0.014915613609920733	
Syntrophococcus	CH4_ml	0.3806931587794708	0.01537595663628221	
Christensenellaceae_uncl(R-7)	Valerate_d	0.38054136184918985	0.015420299242290674	
Coprococcus	IsoButyrate_d	0.37933644081880263	0.015776124676559828	
Bacteroidales_uncl	Butyrate_d	0.3784546034171327	0.01604091046474683	
Prevotellaceae_uncl(YAB2003)	IsoButyrate_d	0.3781597236618945	0.01613028504862197	
Rhodospirillales_uncl	IsoValerate_d	0.3778988326990024	0.016209707853600576	
Prevotella	IsoButyrate_d	0.37682951357866173	0.016538694565791906	
Streptococcus	NH3N_d	0.374430811621075	0.017297195583024394	
uncl(NK4A214)	IsoValerate_d	0.37166604071388315	0.0182075646201427	
Rikenellaceae_uncl(RC9_gut)	IsoButyrate_d	0.37112861322194973	0.018389119210661276	
Prevotellaceae_uncl(UCG-003)	CH4_p	0.3707886729022559	0.01850474161979641	
