Combo	AB2007	AB2008	AB2009	AB2010	AB2011	AB2012	AB2013	AB1008	AB1009	AB1010	AB1011	AB1012	AB1013	AB1007	AB1014	AB1015	AB1016	AB1017	AB1018	AB1019	AB1020	AB1021	AB1022	AB1023	AB1024	AB1025	AB1026	AB2014	AB2015	AB2016	AB2017	AB2018	AB2019	AB2020	AB2021	AB2022	AB2023	AB2024	AB2025	AB2026
Methanobrevibacter	3012.0	9808.0	5301.0	4709.0	915.0	4280.0	2675.0	14200.0	3509.0	7578.0	6085.0	6593.0	4654.0	2490.0	13045.0	2611.0	2213.0	9252.0	5062.0	2509.0	2093.0	2348.0	1887.0	1790.0	6481.0	3106.0	5920.0	30313.0	1982.0	11175.0	7667.0	18640.0	999.0	7473.0	5465.0	9662.0	6380.0	12354.0	1265.0	10107.0
Methanosphaera	18.0	27.0	320.0	60.0	9.0	29.0	74.0	522.0	77.0	128.0	86.0	90.0	240.0	102.0	375.0	24.0	23.0	95.0	116.0	26.0	25.0	77.0	41.0	29.0	130.0	39.0	37.0	804.0	178.0	611.0	427.0	1219.0	50.0	143.0	832.0	816.0	682.0	972.0	114.0	1202.0
Methanobacteriaceae_uncl	50.0	174.0	150.0	28.0	38.0	54.0	51.0	182.0	68.0	100.0	46.0	0.0	0.0	17.0	186.0	55.0	38.0	188.0	64.0	80.0	51.0	128.0	74.0	118.0	523.0	366.0	452.0	211.0	51.0	336.0	375.0	327.0	28.0	155.0	205.0	499.0	323.0	1194.0	110.0	1732.0
Methanomicrobium	7769.0	1474.0	7552.0	2205.0	7001.0	630.0	5517.0	1807.0	9073.0	8229.0	5513.0	6043.0	6915.0	7771.0	4209.0	5159.0	4152.0	2518.0	6471.0	8849.0	5645.0	6353.0	6508.0	9644.0	5452.0	7937.0	3919.0	1442.0	9449.0	6060.0	9882.0	1688.0	12706.0	1880.0	13342.0	8426.0	13096.0	5888.0	8766.0	5137.0
Methanimicrococcus	261.0	136.0	457.0	96.0	160.0	45.0	376.0	401.0	747.0	1077.0	246.0	1286.0	719.0	1050.0	345.0	383.0	2522.0	100.0	691.0	759.0	1725.0	2159.0	4139.0	752.0	439.0	1241.0	544.0	121.0	72.0	91.0	127.0	33.0	810.0	167.0	871.0	546.0	338.0	397.0	491.0	379.0
Candidatus_Methanomethylophilus	472.0	38.0	318.0	106.0	155.0	73.0	241.0	197.0	365.0	1230.0	125.0	623.0	610.0	443.0	382.0	283.0	786.0	77.0	312.0	390.0	922.0	410.0	773.0	519.0	564.0	373.0	230.0	63.0	284.0	352.0	293.0	131.0	702.0	182.0	767.0	337.0	745.0	527.0	389.0	368.0
Methanomethylophilaceae_uncl	944.0	231.0	1143.0	365.0	868.0	188.0	1105.0	1143.0	1255.0	2629.0	913.0	3229.0	1945.0	3068.0	1467.0	1888.0	3738.0	551.0	1946.0	3357.0	5206.0	2653.0	3600.0	4339.0	4245.0	2447.0	1259.0	352.0	928.0	976.0	1425.0	401.0	2210.0	355.0	3738.0	1534.0	3453.0	1968.0	1514.0	1341.0
Bifidobacterium	255.0	42.0	6.0	33.0	0.0	8.0	0.0	71.0	204.0	168.0	487.0	1970.0	964.0	42.0	235.0	621.0	525.0	303.0	323.0	276.0	228.0	2294.0	288.0	0.0	0.0	6343.0	613.0	0.0	15.0	13.0	2.0	7.0	5.0	5.0	0.0	3.0	4.0	17.0	31.0	29.0
Pseudoscardovia	4630.0	5478.0	4654.0	14630.0	4777.0	9110.0	6033.0	5060.0	6215.0	4866.0	4716.0	14069.0	4320.0	3420.0	4606.0	6474.0	5336.0	4776.0	13759.0	2199.0	2377.0	13011.0	2775.0	0.0	0.0	7557.0	3386.0	4502.0	3940.0	4539.0	4786.0	12766.0	3333.0	5757.0	5608.0	5944.0	4027.0	8598.0	3600.0	5120.0
Olsenella	229.0	543.0	215.0	356.0	283.0	1088.0	350.0	702.0	314.0	758.0	488.0	700.0	351.0	191.0	631.0	642.0	532.0	568.0	571.0	218.0	487.0	1235.0	523.0	0.0	0.0	495.0	574.0	790.0	360.0	438.0	274.0	693.0	221.0	607.0	190.0	244.0	311.0	802.0	261.0	622.0
uncl(F082)	437.0	371.0	588.0	286.0	402.0	197.0	523.0	1082.0	727.0	1252.0	427.0	253.0	208.0	903.0	469.0	143.0	276.0	250.0	111.0	807.0	1333.0	959.0	1268.0	0.0	0.0	200.0	888.0	254.0	188.0	155.0	580.0	97.0	710.0	150.0	459.0	382.0	264.0	309.0	402.0	273.0
Muribaculaceae	153.0	466.0	148.0	200.0	163.0	195.0	293.0	827.0	433.0	769.0	220.0	238.0	330.0	217.0	539.0	106.0	506.0	203.0	98.0	59.0	268.0	415.0	440.0	0.0	0.0	48.0	217.0	328.0	108.0	73.0	103.0	145.0	88.0	223.0	124.0	162.0	122.0	164.0	85.0	246.0
Prevotella	1127.0	690.0	1709.0	534.0	1452.0	253.0	1214.0	1160.0	1594.0	1079.0	1276.0	243.0	707.0	2103.0	680.0	749.0	525.0	1944.0	193.0	1924.0	1497.0	999.0	1212.0	0.0	0.0	353.0	1156.0	406.0	582.0	336.0	1157.0	282.0	1483.0	183.0	1398.0	392.0	672.0	384.0	1358.0	414.0
Prevotella_7	648.0	1208.0	913.0	991.0	879.0	1380.0	1082.0	1652.0	1866.0	2010.0	1919.0	578.0	1879.0	2492.0	1230.0	987.0	765.0	1249.0	276.0	1325.0	1524.0	2012.0	1060.0	0.0	0.0	422.0	982.0	1032.0	1017.0	894.0	1228.0	1524.0	740.0	974.0	784.0	879.0	946.0	1629.0	1007.0	1455.0
Prevotellaceae_uncl(UCG-001)	30.0	39.0	16.0	3.0	34.0	14.0	36.0	18.0	20.0	38.0	9.0	12.0	7.0	24.0	0.0	51.0	32.0	118.0	23.0	51.0	31.0	73.0	67.0	0.0	0.0	60.0	145.0	8.0	18.0	51.0	74.0	37.0	17.0	11.0	26.0	10.0	18.0	8.0	30.0	21.0
Prevotellaceae_uncl(UCG-003)	0.0	0.0	4.0	3.0	0.0	4.0	21.0	18.0	19.0	25.0	0.0	5.0	5.0	5.0	19.0	0.0	11.0	8.0	0.0	14.0	15.0	5.0	29.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	10.0	0.0	12.0	0.0	9.0	0.0	0.0	2.0	13.0	0.0
Prevotellaceae_uncl(YAB2003)	1147.0	714.0	1429.0	325.0	1661.0	333.0	1434.0	401.0	1125.0	777.0	2051.0	11.0	988.0	1169.0	369.0	389.0	36.0	1660.0	13.0	1214.0	675.0	711.0	1099.0	0.0	0.0	76.0	957.0	338.0	728.0	222.0	1014.0	150.0	1068.0	155.0	839.0	288.0	611.0	278.0	822.0	246.0
