# Constructed from biom file
#OTU ID	AB1007	AB1008	AB1009	AB1010	AB1011	AB1012	AB1013	AB1014	AB1015	AB1016	AB1017	AB1018	AB1019	AB1020	AB1021	AB1022	AB1023	AB1024	AB1025	AB1026	AB1037	AB1038	AB1039	AB1040	AB1041	AB1042	AB1043	AB1044	AB1045	AB1046	AB1047	AB1048	AB1049	AB1050	AB1051	AB1052	AB1053	AB1054	AB1055	AB1056	AB1057	AB1058	AB1059	AB1060	AB1061	AB1062	AB1063	AB1064	AB1065	AB1066	AB1067	AB1068	AB1069	AB1070	AB1071	AB1072	AB1073	AB1074	AB1075	AB1076	AB2007	AB2008	AB2009	AB2010	AB2011	AB2012	AB2013	AB2014	AB2015	AB2016	AB2017	AB2018	AB2019	AB2020	AB2021	AB2022	AB2023	AB2024	AB2025	AB2026	AB2037	AB2038	AB2039	AB2040	AB2041	AB2042	AB2043	AB2044	AB2045	AB2046	AB2047	AB2048	AB2049	AB2050	AB2051	AB2052	AB2053	AB2054	AB2055	AB2056	AB2057	AB2058	AB2059	AB2060	AB2061	AB2062	AB2063	AB2064	AB2065	AB2066	AB2067	AB2068	AB2069	AB2070	AB2071	AB2072	AB2073	AB2074	AB2075	AB2076
Prevotellaceae_uncl(UCG-001)	24.0	18.0	20.0	38.0	9.0	12.0	7.0	0.0	51.0	32.0	118.0	23.0	51.0	31.0	73.0	67.0	0.0	0.0	60.0	145.0	23.0	18.0	103.0	135.0	357.0	224.0	50.0	44.0	80.0	133.0	45.0	15.0	53.0	6.0	136.0	154.0	33.0	80.0	128.0	199.0	17.0	8.0	187.0	150.0	422.0	220.0	140.0	90.0	170.0	159.0	36.0	9.0	36.0	9.0	342.0	0.0	46.0	68.0	58.0	121.0	30.0	39.0	16.0	3.0	34.0	14.0	36.0	8.0	18.0	51.0	74.0	37.0	17.0	11.0	26.0	10.0	18.0	8.0	30.0	21.0	55.0	69.0	220.0	222.0	387.0	587.0	159.0	130.0	179.0	180.0	79.0	113.0	191.0	245.0	321.0	249.0	110.0	423.0	0.0	232.0	35.0	45.0	136.0	157.0	265.0	245.0	51.0	95.0	237.0	210.0	62.0	85.0	103.0	141.0	150.0	209.0	55.0	44.0	127.0	139.0
Coprococcus	0.0	33.0	38.0	77.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	42.0	10.0	62.0	41.0	36.0	20.0	14.0	0.0	8.0	94.0	297.0	0.0	19.0	0.0	6.0	126.0	20.0	0.0	0.0	92.0	56.0	71.0	102.0	65.0	56.0	56.0	72.0	10.0	51.0	45.0	111.0	0.0	12.0	0.0	0.0	68.0	14.0	0.0	13.0	73.0	668.0	190.0	246.0	0.0	173.0	33.0	400.0	0.0	37.0	23.0	312.0	10.0	111.0	75.0	136.0	8.0	55.0	0.0	33.0	154.0	80.0	66.0	47.0	4.0	23.0	134.0	31.0	37.0	22.0	648.0	188.0	639.0	280.0	176.0	116.0	492.0	524.0	0.0	125.0	167.0	96.0	57.0	42.0	31.0	45.0	54.0	33.0	56.0	53.0	562.0	276.0	359.0	179.0	159.0	83.0	254.0	165.0	159.0	104.0
uncl(Family_XIII_AD3011)	60.0	139.0	48.0	55.0	58.0	6.0	22.0	55.0	18.0	12.0	48.0	14.0	58.0	80.0	60.0	35.0	0.0	0.0	10.0	82.0	677.0	544.0	125.0	305.0	208.0	98.0	110.0	125.0	143.0	141.0	358.0	257.0	214.0	165.0	176.0	162.0	99.0	121.0	220.0	159.0	394.0	236.0	226.0	205.0	145.0	100.0	203.0	192.0	98.0	132.0	160.0	103.0	145.0	84.0	262.0	0.0	109.0	98.0	135.0	105.0	41.0	66.0	60.0	3.0	70.0	23.0	49.0	54.0	24.0	31.0	70.0	86.0	60.0	18.0	23.0	25.0	20.0	33.0	19.0	86.0	211.0	210.0	213.0	214.0	206.0	482.0	296.0	320.0	230.0	159.0	213.0	250.0	192.0	227.0	220.0	172.0	184.0	423.0	0.0	198.0	135.0	158.0	87.0	108.0	142.0	108.0	125.0	130.0	207.0	136.0	156.0	215.0	91.0	103.0	98.0	88.0	96.0	109.0	76.0	79.0
module_0	27553.0	18361.0	28145.0	27006.0	25938.0	22532.0	23945.0	17976.0	22480.0	20373.0	18929.0	23928.0	18974.0	17570.0	34903.0	20815.0	0.0	0.0	16854.0	16160.0	6834.0	5715.0	3742.0	4020.0	4240.0	3630.0	3203.0	5044.0	5338.0	5064.0	8688.0	7107.0	7473.0	7797.0	7490.0	6833.0	6505.0	5341.0	9100.0	6006.0	5486.0	4524.0	5581.0	4946.0	4941.0	2719.0	4998.0	6493.0	7184.0	5069.0	6176.0	6308.0	6604.0	7462.0	14388.0	0.0	6701.0	6011.0	5511.0	4445.0	15674.0	15335.0	14368.0	36358.0	30808.0	22581.0	20937.0	11693.0	16016.0	13230.0	14713.0	21586.0	18966.0	13950.0	16987.0	14850.0	12952.0	16944.0	20317.0	16191.0	2730.0	2769.0	4856.0	2895.0	3599.0	7967.0	4058.0	4997.0	3295.0	1614.0	3310.0	3318.0	5430.0	4004.0	4140.0	4257.0	5416.0	8521.0	0.0	5768.0	4485.0	4290.0	4344.0	2664.0	4251.0	4043.0	2780.0	4243.0	4552.0	3029.0	4849.0	4811.0	4682.0	4019.0	4102.0	4804.0	3788.0	3125.0	3046.0	3609.0
module_1	735.0	283.0	280.0	535.0	282.0	136.0	231.0	141.0	77.0	216.0	110.0	83.0	741.0	978.0	542.0	1077.0	0.0	0.0	163.0	174.0	1606.0	1276.0	471.0	859.0	1070.0	1097.0	893.0	684.0	797.0	1035.0	5026.0	2194.0	3821.0	2767.0	2541.0	2253.0	2602.0	3018.0	5016.0	4924.0	1627.0	968.0	1401.0	1294.0	1511.0	1223.0	1863.0	1575.0	1819.0	1121.0	2307.0	1481.0	2550.0	2171.0	4547.0	0.0	2891.0	2794.0	2646.0	2430.0	230.0	43.0	148.0	57.0	187.0	51.0	139.0	11.0	48.0	50.0	112.0	10.0	303.0	35.0	158.0	32.0	62.0	26.0	154.0	88.0	2440.0	1794.0	2303.0	2693.0	2220.0	4183.0	4187.0	3769.0	2955.0	2287.0	2529.0	2069.0	2370.0	2756.0	3134.0	2967.0	2385.0	5019.0	0.0	3342.0	2050.0	1519.0	1053.0	1352.0	1523.0	1359.0	1440.0	1710.0	2307.0	1585.0	1593.0	1561.0	1317.0	1563.0	1281.0	1566.0	1211.0	1280.0	1299.0	1442.0
module_2	26.0	66.0	30.0	28.0	5.0	5.0	31.0	28.0	3.0	27.0	36.0	7.0	24.0	96.0	46.0	49.0	0.0	0.0	19.0	22.0	1040.0	1281.0	244.0	659.0	569.0	498.0	574.0	860.0	528.0	487.0	749.0	987.0	515.0	607.0	283.0	535.0	463.0	599.0	597.0	1476.0	826.0	758.0	724.0	665.0	780.0	529.0	1273.0	1128.0	923.0	631.0	343.0	462.0	307.0	277.0	575.0	0.0	412.0	477.0	234.0	569.0	19.0	18.0	20.0	28.0	26.0	25.0	64.0	6.0	0.0	12.0	10.0	11.0	24.0	8.0	20.0	10.0	11.0	20.0	19.0	26.0	1420.0	1359.0	1384.0	1806.0	1742.0	3299.0	2569.0	2191.0	1691.0	1799.0	1016.0	979.0	1018.0	1411.0	1295.0	610.0	1036.0	1941.0	0.0	958.0	1209.0	1122.0	731.0	861.0	1061.0	1097.0	931.0	1078.0	1547.0	985.0	694.0	600.0	585.0	689.0	444.0	259.0	610.0	536.0	466.0	464.0
module_3	222.0	1912.0	453.0	1548.0	589.0	122.0	382.0	1441.0	130.0	73.0	732.0	236.0	180.0	510.0	1936.0	1000.0	0.0	0.0	53.0	1638.0	357.0	199.0	110.0	384.0	183.0	119.0	68.0	233.0	112.0	220.0	526.0	414.0	232.0	278.0	309.0	242.0	242.0	333.0	728.0	202.0	596.0	506.0	514.0	1217.0	364.0	309.0	337.0	1029.0	408.0	558.0	516.0	514.0	347.0	428.0	929.0	0.0	388.0	611.0	808.0	443.0	2128.0	3403.0	1537.0	3901.0	447.0	4270.0	2582.0	4712.0	1749.0	3259.0	2038.0	6183.0	1269.0	4109.0	2001.0	2545.0	2621.0	4859.0	678.0	4868.0	197.0	196.0	262.0	367.0	214.0	520.0	345.0	327.0	277.0	165.0	425.0	409.0	913.0	468.0	803.0	858.0	691.0	1532.0	0.0	685.0	835.0	627.0	844.0	694.0	986.0	622.0	1027.0	638.0	1333.0	1017.0	1237.0	991.0	1116.0	969.0	1456.0	2080.0	905.0	764.0	1012.0	1165.0
module_4	2592.0	1273.0	3435.0	2811.0	3939.0	80.0	2817.0	1395.0	868.0	89.0	3888.0	173.0	2414.0	1726.0	2363.0	2576.0	0.0	0.0	303.0	2663.0	600.0	698.0	353.0	590.0	715.0	728.0	622.0	740.0	775.0	823.0	525.0	1477.0	885.0	1625.0	1612.0	1764.0	794.0	1336.0	1451.0	1649.0	650.0	1190.0	950.0	915.0	1665.0	1328.0	1330.0	1805.0	2189.0	1491.0	515.0	1723.0	1032.0	2089.0	3929.0	0.0	1398.0	2001.0	1425.0	2143.0	2926.0	2679.0	4062.0	2132.0	5482.0	1823.0	3522.0	1704.0	3206.0	1456.0	2858.0	1304.0	3331.0	983.0	2266.0	1539.0	2250.0	1947.0	2563.0	1778.0	667.0	498.0	701.0	852.0	1087.0	2253.0	1276.0	1315.0	1254.0	829.0	694.0	649.0	1021.0	813.0	750.0	656.0	499.0	1958.0	0.0	1189.0	1385.0	1228.0	1619.0	1248.0	1990.0	1572.0	1685.0	1125.0	2888.0	2761.0	1028.0	957.0	947.0	967.0	1030.0	1133.0	489.0	688.0	1175.0	1115.0
module_5	1532.0	2202.0	1267.0	2498.0	893.0	781.0	643.0	1098.0	551.0	1913.0	883.0	496.0	1441.0	2315.0	2435.0	2214.0	0.0	0.0	836.0	1572.0	6641.0	6952.0	2509.0	4314.0	4476.0	4653.0	5184.0	3816.0	4681.0	4427.0	12463.0	7533.0	8270.0	4139.0	6052.0	5543.0	6505.0	4712.0	10249.0	10164.0	8319.0	8138.0	7134.0	6566.0	6262.0	5039.0	11075.0	9673.0	7000.0	6008.0	7025.0	6657.0	6902.0	3416.0	12353.0	0.0	7586.0	6239.0	6417.0	6300.0	864.0	937.0	1098.0	579.0	835.0	523.0	1104.0	698.0	337.0	379.0	906.0	421.0	1217.0	398.0	892.0	603.0	474.0	690.0	676.0	907.0	12321.0	9356.0	8119.0	8766.0	6360.0	14010.0	15446.0	13306.0	8843.0	8113.0	9046.0	10389.0	6506.0	10102.0	10807.0	8484.0	9368.0	18790.0	0.0	9859.0	11137.0	7752.0	4971.0	6623.0	5665.0	5497.0	6828.0	7269.0	8127.0	6518.0	7307.0	8919.0	5987.0	7068.0	6190.0	5993.0	5922.0	6939.0	5137.0	5655.0
module_6	12332.0	3548.0	11440.0	13165.0	6797.0	11181.0	10189.0	6403.0	7713.0	11198.0	3246.0	9420.0	13355.0	13498.0	11575.0	15020.0	15254.0	10700.0	11998.0	5952.0	2853.0	3460.0	5761.0	5011.0	7185.0	10084.0	10895.0	9092.0	10792.0	9201.0	9183.0	4953.0	10868.0	7927.0	11566.0	13472.0	11848.0	12156.0	13549.0	14182.0	3702.0	7086.0	11803.0	9739.0	14358.0	15606.0	14402.0	12550.0	14280.0	10577.0	11007.0	13993.0	20063.0	10847.0	8740.0	2970.0	16464.0	20938.0	21102.0	17173.0	9446.0	1879.0	9470.0	2772.0	8184.0	936.0	7239.0	1978.0	10733.0	7479.0	11727.0	2253.0	16428.0	2584.0	18718.0	10843.0	17632.0	8780.0	11160.0	7225.0	8130.0	6686.0	7225.0	12769.0	10826.0	8794.0	9712.0	9494.0	8232.0	4578.0	5759.0	11542.0	16134.0	13440.0	16105.0	16458.0	17445.0	12614.0	28566.0	24212.0	6074.0	6690.0	9323.0	7027.0	10479.0	10476.0	5337.0	12866.0	13222.0	7950.0	7602.0	8588.0	11077.0	16879.0	16072.0	13538.0	12849.0	16605.0	12264.0	13615.0
