	Trt1	Trt2	Trt3	Trt4	Trt5
Megasphaera_FL	0.18590886836167375	0.19059804228266963	1.0	0.3063659981773027	0.6479497759819042
Bifidobacterium_FL	0.3323570684750803	0.9497364472595983	0.7875878617906162	0.7887744446772337	1.0
Shuttleworthia_FL	1.0	0.7995386705044828	0.703692919894524	0.8147539588178487	0.7029548891128231
Methanomethylophilaceae_uncl_FL	0.9899913090399464	0.7899952707819358	0.7285631058050208	1.0	0.8499443523137569
Methanimicrococcus_FL	0.6838865096359743	0.0	0.0	0.0	1.0
Candidatus_Saccharimonas_FL	1.0	0.6241950468003583	0.32526012528342535	0.6200922495592813	0.2659182777422818
Methanobrevibacter_FL	0.9585224907142463	0.9871704693688229	1.0	0.9530999464853233	0.9739114016882334
uncl(WPS-2)_FL	0.41544588248079994	0.6037561463811439	1.0	0.4062186272698659	0.6508042318257412
Coprococcus_FL	1.0	0.7722075218396441	0.269343963947563	0.6781748213948399	0.1138098121470319
Methanomicrobium_FL	0.8353702342365807	0.8949250373675307	0.8699169270100663	1.0	0.9816771676710868
Syntrophococcus_FL	1.0	0.8614363400619232	0.766411677409839	0.7250657870999083	0.5499940793912295
Prevotellaceae_uncl(UCG-003)_FL	0.8672602957703769	0.8515465979069458	0.6551490029422463	1.0	0.7534994364923401
Methanosphaera_FL	1.0	0.7909508631594082	0.6874519780695162	0.7446681958485348	0.7594305941640168
Prevotellaceae_uncl(UCG-001)_FL	0.17592980699590463	0.5768259700546132	1.0	0.32268387997259157	0.45133460728262803
Muribaculaceae_FL	0.6331785380273462	1.0	0.5151378539918403	0.5049651899781827	0.37793286255217495
uncl(NK4A214)_FL	1.0	0.8612362539120233	0.6841470257224949	0.637281162535532	0.5477131541552225
Christensenellaceae_uncl(R-7)_FL	1.0	0.6195227590008486	0.5228062214884108	0.7607069742441417	0.5379215662469737
Rikenellaceae_uncl(RC9_gut)_FL	0.7392732742041546	0.8862514707180927	1.0	0.7984235719125884	0.6666348648173239
Clostridia_uncl(vadinBB60)_FL	0.44088872651727196	0.8135765895773427	1.0	0.8731530202815441	0.9423857937922332
Olsenella_FL	0.7476358903949334	0.8374521106737877	1.0	0.6393946588572206	0.6929489685612934
uncl(Family_XIII_AD3011)_FL	1.0	0.734280708094873	0.5959125764548905	0.5192552209716325	0.4476515990388986
uncl(F082)_FL	1.0	0.6959326530776105	0.672215518665653	0.8466216433270439	0.7059037330453231
Prevotella_7_FL	0.6778485294234562	0.9319614741788941	0.9941965654132775	0.8816818258522099	1.0
Prevotella_FL	0.8543253118740297	0.8968254201415065	0.9780159419779583	1.0	0.9853490539724582
Erysipelotrichaceae_uncl_FL	1.0	0.8160287605531641	0.7664294118582359	0.6556326127654951	0.5517835623884592
Pseudoscardovia_FL	0.7967225940293106	1.0	0.7391909364349939	0.6165691160146927	0.4692795582410208
Candidatus_Methanomethylophilus_FL	0.437079319063663	0.476446916543223	0.7042386738705332	1.0	0.5363896982934427
Pseudoramibacter_FL	0.6103293930100796	1.0	0.7634363196781451	0.8865207973983558	0.5991864342665586
Lactobacillus_FL	0.7415681899676478	1.0	0.6807505493167249	0.9013339674865866	0.5654073951840286
Negativicutes_uncl_FL	0.6564235102063491	0.6900953160125558	0.8471161214913945	0.9130956198121536	1.0
Succinivibrio_FL	0.7792954824871157	0.8704172702243071	1.0	0.9913727628654763	0.9223015910352984
Ruminobacter_FL	0.3202876457575468	0.588375829143916	1.0	0.6450885705815292	0.6875066207812311
Bacteroidales_uncl_FL	1.0	0.8297543456698852	0.9621528354272592	0.9069625020548837	0.6861279397085444
Succiniclasticum_FL	1.0	0.8446683785015418	0.6487428862355208	0.8489575375920791	0.7614969018165691
Treponema_FL	0.40609476156130303	0.7026278253679585	0.6481842740358839	0.8551915081113873	1.0
Clostridia_uncl(UCG-014)_FL	1.0	0.5309613438990064	0.34435639773688836	0.6747281385087959	0.5234437981296719
Acinetobacter_FL	0.0	0.22858823024178745	0.0	0.40740829411194074	1.0
Fibrobacter_FL	0.4002895960031453	0.6775008323802514	1.0	0.7368744150959174	0.7916081281906394
Prevotellaceae_uncl(YAB2003)_FL	0.4955294840804536	0.836287039542713	0.7305710303323475	0.7437117031780274	1.0
Limosilactobacillus_FL	1.0	0.7407923459329386	0.9230788357173458	0.41816018430115676	0.2607042964922633
Methanobacteriaceae_uncl_FL	1.0	0.38305252628817854	0.30770256049987454	0.4761066717566233	0.37074231588550915
Monoglobus_FL	0.5625522786228879	0.676183995486515	0.6030613141985874	1.0	0.8796503543870585
Rhodospirillales_uncl_FL	0.8051277499650952	0.6375234157111378	0.47525792219700097	1.0	0.5529440638439663
Selenomonas_FL	0.4446792401944756	0.4621630736159335	1.0	0.5289465824059473	0.7955473874379853
Eubacterium_nodatum_FL	1.0	0.9636201076349032	0.8894486226590739	0.7735250094364396	0.6825455307652896
Izemoplasmatales_FL	0.7094448860125808	1.0	0.9572145447914434	0.8284133686598568	0.8557777685927592
Megasphaera_E	1.0	0.5930380509886531	0.5744322206038084	0.5681062259061607	0.8475581790639769
Catenisphaera_E	0.3597183660686028	0.669083636772519	1.0	0.625608850241065	0.9378003514382895
Treponema_E	0.3963177465716211	0.6912596871299558	0.4759843641414527	0.6634781671334998	1.0
Methanosphaera_E	1.0	0.7618075960093451	0.9561308961512454	0.7566129348819965	0.7605917260966959
Shuttleworthia_E	1.0	0.8729890016395855	0.6543282205877143	0.8072952059612728	0.9723132895617924
Candidatus_Saccharimonas_E	1.0	0.6200071800047459	0.2810603032822638	0.6768369425857081	0.3918751931640842
Prevotellaceae_uncl(UCG-001)_E	0.16452761274256847	0.5663251276666289	1.0	0.3183268855379822	0.6822001342397432
Comamonas_E	0.3105765183638837	0.6170839985298019	1.0	0.20572925208553036	0.15674982047130773
Bacteroidales_uncl_E	0.9771269223467849	0.8679663526431377	0.7665431210801597	1.0	0.9114272592387026
Prevotellaceae_uncl(UCG-003)_E	0.7930471146577495	0.7546884532486836	0.5839340660131483	1.0	0.9336583770695779
