	feature1	feature2	r	p	p_adj	stype
0	Megasphaera	Valerate_d	0.797559421812331	7.245192353584144e-10	3.6280657277388346e-07	FL
1	Megasphaera	Propionate_d	-0.7935243792217981	1.014843560206667e-09	3.6280657277388346e-07	FL
2	Megasphaera	Butyrate_d	0.7690269074331539	6.771010354135513e-09	1.6137574677356306e-06	FL
3	Megasphaera	Acetate_d	-0.7329231859202467	7.552793459212603e-08	1.3500618308342527e-05	FL
4	Bifidobacterium	Propionate_d	-0.7249698198379924	1.220735439258866e-07	1.7456516781401784e-05	FL
5	Shuttleworthia	Butyrate_d	0.7158680632255043	2.0731454390886718e-07	2.135929441584004e-05	FL
6	Methanomethylophilaceae_uncl	ph	0.7136472429595141	2.3518965367088365e-07	2.135929441584004e-05	FL
7	Methanimicrococcus	ph	0.7133639371862074	2.389851123450634e-07	2.135929441584004e-05	FL
8	Bifidobacterium	Acetate_d	-0.7084032527465095	3.153487617185667e-07	2.380217850670022e-05	FL
9	Candidatus_Saccharimonas	Acetate_d	0.7074223546204843	3.3289760149231075e-07	2.380217850670022e-05	FL
10	Methanobrevibacter	Valerate_d	-0.7000188833007697	4.975212106709136e-07	3.2338878693609384e-05	FL
11	Shuttleworthia	Valerate_d	0.6881866872299999	9.228083228978737e-07	5.4983995905998306e-05	FL
12	Candidatus_Saccharimonas	Valerate_d	-0.6792453578345883	1.4445088437715603e-06	7.797863025207693e-05	FL
13	Candidatus_Saccharimonas	NH3N_d	0.6781172640510874	1.526854298642066e-06	7.797863025207693e-05	FL
14	uncl(WPS-2)	Butyrate_d	-0.6677146997028239	2.5176976302244567e-06	0.00012001025370736577	FL
15	Coprococcus	Acetate_d	0.6564696084474785	4.231001633208502e-06	0.00018907288548400495	FL
16	Shuttleworthia	IsoValerate_d	0.65437898023552	4.648703310388245e-06	0.00019133068088776216	FL
17	Methanomicrobium	ph	0.6535864190184991	4.816716441929677e-06	0.00019133068088776216	FL
18	Bifidobacterium	Valerate_d	0.6460010886409164	6.731230672735448e-06	0.00025330683847399186	FL
19	Syntrophococcus	Acetate_d	0.6391404314265539	9.040056852083425e-06	0.00032318203246198247	FL
20	uncl(WPS-2)	Valerate_d	-0.6325055335980129	1.1942408935266312e-05	0.0003892067799580823	FL
21	Prevotellaceae_uncl(UCG-003)	Valerate_d	-0.6324386210352088	1.1975593229479455e-05	0.0003892067799580823	FL
22	Shuttleworthia	Propionate_d	-0.626566550932508	1.5239089460330582e-05	0.0004737369114841899	FL
23	Methanosphaera	Acetate_d	0.6238382060027943	1.7016210196824482e-05	0.0005069412621137294	FL
24	Prevotellaceae_uncl(UCG-001)	Butyrate_d	-0.6197691901928415	2.002023647532989e-05	0.0005725787631944348	FL
25	Coprococcus	NH3N_d	0.610464005291249	2.8791857051810888e-05	0.0007917760689247995	FL
26	Prevotellaceae_uncl(UCG-003)	Butyrate_d	-0.5979265434264563	4.614814488935259e-05	0.0012220712442921149	FL
27	Prevotellaceae_uncl(UCG-003)	Propionate_d	0.5868168118289336	6.897185930174119e-05	0.0017480952566149472	FL
28	Methanobrevibacter	Acetate_d	0.5860386667265531	7.090176565291394e-05	0.0017480952566149472	FL
29	Prevotellaceae_uncl(UCG-001)	IsoValerate_d	-0.5800789836841522	8.738603937558091e-05	0.0020827006051180115	FL
30	Prevotellaceae_uncl(UCG-003)	Acetate_d	0.5771251743571931	9.678037671448482e-05	0.002232192559705053	FL
31	Muribaculaceae	Acetate_d	0.572722156973886	0.00011248758418726533	0.0025133944591842097	FL
32	Megasphaera	IsoValerate_d	0.5672112044987984	0.0001353813570665946	0.0029332627364428827	FL
33	Syntrophococcus	Valerate_d	-0.5627787406628101	0.00015676250719855498	0.0032966233131460827	FL
34	Bifidobacterium	Butyrate_d	0.5593485574075496	0.00017535145079131538	0.003582179637594014	FL
35	uncl(WPS-2)	Propionate_d	0.5580063850373237	0.00018315029614156345	0.003637568381700496	FL
36	uncl(NK4A214)	CH4_ml	0.5571455479552921	0.00018831551904284098	0.0036390701652873323	FL
37	Christensenellaceae_uncl(R-7)	Acetate_d	0.5509476546619149	0.0002295527830328264	0.004074280210575598	FL
38	Rikenellaceae_uncl(RC9_gut)	ph	0.5502742470193317	0.00023449037106849956	0.004074280210575598	FL
39	Clostridia_uncl(vadinBB60)	IsoValerate_d	-0.5499437912966118	0.00023694814089321383	0.004074280210575598	FL
40	Olsenella	CH4_p	0.5494227002522508	0.00024087089288953725	0.004074280210575598	FL
41	Muribaculaceae	VFA_d	0.5489092194640453	0.0002447934219689244	0.004074280210575598	FL
42	Bifidobacterium	ph	-0.5483095078256606	0.0002494473720242997	0.004074280210575598	FL
43	uncl(Family_XIII_AD3011)	Acetate_Propionate	0.548146641180392	0.00025072493603542145	0.004074280210575598	FL
