feature1	feature2	r	p	p_adjusted
Methanobrevibacter	Methanosphaera	0.7363	0.001	0.0018702770780856424
Methanobacteriaceae_uncl	Methanobrevibacter	0.7	0.001	0.0018702770780856424
Methanobrevibacter	Methanomicrobium	0.5771	0.001	0.0018702770780856424
Methanimicrococcus	Methanobrevibacter	0.3587	0.001	0.0018702770780856424
Candidatus_Methanomethylophilus	Methanobrevibacter	0.5987	0.001	0.0018702770780856424
Methanobrevibacter	Methanomethylophilaceae_uncl	0.5825	0.001	0.0018702770780856424
Bifidobacterium	Methanobrevibacter	0.0658	0.4885	0.53735
Methanobrevibacter	Pseudoscardovia	0.3192	0.001	0.0018702770780856424
Methanobrevibacter	Olsenella	0.3489	0.001	0.0018702770780856424
Methanobrevibacter	uncl(F082)	-0.6838	0.001	0.0018702770780856424
Methanobrevibacter	Muribaculaceae	0.2758	0.009	0.013892931392931391
Methanobrevibacter	Prevotella	-0.6673	0.001	0.0018702770780856424
Methanobrevibacter	Prevotella_7	0.1771	0.0679	0.08938962765957446
Methanobrevibacter	Prevotellaceae_uncl(UCG-001)	-0.1109	0.2348	0.2749826498422713
Methanobrevibacter	Prevotellaceae_uncl(UCG-003)	-0.3812	0.001	0.0018702770780856424
Methanobrevibacter	Prevotellaceae_uncl(YAB2003)	0.1196	0.2118	0.25021718377088303
Methanobrevibacter	Rikenellaceae_uncl(RC9_gut)	-0.6893	0.001	0.0018702770780856424
Bacteroidales_uncl	Methanobrevibacter	-0.4426	0.001	0.0018702770780856424
Fibrobacter	Methanobrevibacter	-0.0657	0.4975	0.5448285398230088
Catenisphaera	Methanobrevibacter	0.3199	0.002	0.0034859154929577463
Erysipelotrichaceae_uncl	Methanobrevibacter	-0.2636	0.005	0.008114754098360656
Izemoplasmatales	Methanobrevibacter	-0.6515	0.001	0.0018702770780856424
Lactobacillus	Methanobrevibacter	-0.0186	0.8332	0.8533117241379311
Limosilactobacillus	Methanobrevibacter	0.2047	0.03	0.0423076923076923
Methanobrevibacter	Streptococcus	-0.1158	0.2388	0.2792267716535433
Christensenellaceae_uncl(R-7)	Methanobrevibacter	-0.5037	0.001	0.0018702770780856424
Clostridia_uncl(UCG-014)	Methanobrevibacter	-0.3745	0.001	0.0018702770780856424
Clostridia_uncl(vadinBB60)	Methanobrevibacter	-0.478	0.001	0.0018702770780856424
Methanobrevibacter	Pseudoramibacter	0.2159	0.022	0.03171844660194175
Acetitomaculum	Methanobrevibacter	0.3763	0.001	0.0018702770780856424
Coprococcus	Methanobrevibacter	0.2919	0.001	0.0018702770780856424
Lachnospiraceae_uncl(NK3A20)	Methanobrevibacter	0.2503	0.014	0.02089447236180905
Methanobrevibacter	Pseudobutyrivibrio	0.1587	0.0939	0.12031190681622088
Methanobrevibacter	Shuttleworthia	0.3194	0.003	0.005097254004576658
Methanobrevibacter	Syntrophococcus	0.4676	0.001	0.0018702770780856424
Methanobrevibacter	Monoglobus	-0.2188	0.024	0.0344015444015444
Methanobrevibacter	uncl(NK4A214)	-0.34	0.001	0.0018702770780856424
Methanobrevibacter	uncl(UCG-010)	-0.5181	0.001	0.0018702770780856424
Methanobrevibacter	uncl(Family_XIII_AD3011)	-0.1753	0.0509	0.0693454128440367
