feature1	feature2	r	p	p_adjusted
CH4_p	Tot_gas	0.3025785097551725	0.0007822912510335451	0.0012712232829295107
CH4_ml	Tot_gas	0.6128920117731095	1.006188618406972e-13	4.616630131514342e-13
NH3N_d	Tot_gas	0.6580144466297854	3.1944262646091956e-16	1.7797517759965517e-15
Acetate_d	Tot_gas	0.5242896684813193	7.95468908451461e-10	2.3864067253543832e-09
Propionate_d	Tot_gas	0.26942976356050063	0.002922287342954392	0.0042210817176007885
IsoButyrate_d	Tot_gas	0.5834609801215745	2.684316260545416e-12	1.1019824648554867e-11
Butyrate_d	Tot_gas	0.06549762977992683	0.47724266398701	0.5170128859859274
IsoValerate_d	Tot_gas	0.29211955151586066	0.0012061035333892274	0.001899877986940496
Tot_gas	Valerate_d	-0.21968024282962267	0.015916910385278083	0.022169982322351615
Acetate_Propionate	Tot_gas	0.5127988127862662	2.1251723520526627e-09	5.920122980718132e-09
Tot_gas	VFA_d	0.5766850757905659	5.4608090807342994e-12	2.129715541486377e-11
Tot_gas	ph	-0.13511469250312916	0.14119075173659007	0.17207622867896916
CH4_ml	CH4_p	0.9130682695306518	8.659154296413262e-48	6.754140351202344e-46
CH4_p	NH3N_d	0.3109986001800616	0.0005456025472456655	0.0009251521453296067
Acetate_d	CH4_p	0.09226062166249281	0.31623473774297195	0.3574827470137944
CH4_p	Propionate_d	-0.11799393623657307	0.19931048030814932	0.23917257636977918
CH4_p	IsoButyrate_d	0.40397073140610484	4.750258835988281e-06	1.0292227477974607e-05
Butyrate_d	CH4_p	0.2918804689608471	0.001217870504449036	0.001899877986940496
CH4_p	IsoValerate_d	0.3477450714161669	9.955939808968791e-05	0.00018940568417062577
CH4_p	Valerate_d	0.2731384689046634	0.0025413232817354933	0.0037400606787805373
Acetate_Propionate	CH4_p	0.1948531153067738	0.032953173798838734	0.04431633717774864
CH4_p	VFA_d	0.3068429932391639	0.0006526623154708466	0.0010831417150367242
CH4_p	ph	-0.007003469534212569	0.939485071424249	0.939485071424249
CH4_ml	NH3N_d	0.5378752184832178	2.371678666006501e-10	7.399637437940282e-10
Acetate_d	CH4_ml	0.3485564889816781	9.565463821330065e-05	0.00018652654451593628
CH4_ml	Propionate_d	0.0627772757237081	0.49576715600504695	0.5297238105259405
CH4_ml	IsoButyrate_d	0.5536214527507799	5.4436259650042605e-11	1.8460992403057927e-10
Butyrate_d	CH4_ml	0.1705879087087267	0.06248817701487435	0.08261148825695254
CH4_ml	IsoValerate_d	0.32638527810440343	0.0002746532093891262	0.0004760655629411521
CH4_ml	Valerate_d	0.02215296012108316	0.8102039403847179	0.8426120980001066
Acetate_Propionate	CH4_ml	0.3888544448075562	1.1381203746748075e-05	2.3992807898549997e-05
CH4_ml	VFA_d	0.4875688319989235	1.6246493097560888e-08	4.369746419343963e-08
CH4_ml	ph	0.009804448292333142	0.9153596249513616	0.9272474122883922
Acetate_d	NH3N_d	0.67520726813015	2.730482770482829e-17	1.6382896622896974e-16
NH3N_d	Propionate_d	0.3360458523947733	0.00017515106859516578	0.0003104950761459757
IsoButyrate_d	NH3N_d	0.8059846411653744	1.2169726747068998e-28	3.1641289542379394e-27
Butyrate_d	NH3N_d	0.07585535821019325	0.4102557904811901	0.4571421665361832
IsoValerate_d	NH3N_d	0.25948505797775107	0.004210353933713735	0.005971047396903115
NH3N_d	Valerate_d	-0.343363797886704	0.00012333661694656202	0.00022905371718647232
Acetate_Propionate	NH3N_d	0.6782231706809889	1.7434896164771243e-17	1.1332682507101308e-16
NH3N_d	VFA_d	0.7312934973765973	2.4500597089528187e-21	2.1233850810924428e-20
NH3N_d	ph	-0.11186563521849045	0.22382408438309373	0.26451937245274715
Acetate_d	Propionate_d	0.7496210178562023	6.893328222108112e-23	6.720995016555409e-22
