# Constructed from biom file
#OTU ID	A1000	A1001	A1002	A1003	A1004	A1005	A1006	A1007	A1008	A1009	A1010	A1011	A1012	A1013	A1014	A1015	A1016	A1017	A1018	A1019	A1020	A1021	A1022	A1023	A1024	A1025	A1026	A1027	A1028	A1029	A1030	A1031	A1032	A1033	A1034	A1035	A1036	A1037	A1038	A1039	A1040	A1041	A1042	A1043	A1044	A1045	A1046	A1047	A1048	A1049	A1050	A1051	A1052	A1053	A1054	A1055	A1056	A1057	A1058	A1059	A1060	A1061	A1062	A1063	A1064	A1065	A1066	A1067	A1068	A1069	A1070	A1071	A1072	A1073	A1074	A1075	A1076	A2000	A2001	A2002	A2003	A2004	A2005	A2006	A2007	A2008	A2009	A2010	A2011	A2012	A2013	A2014	A2015	A2016	A2017	A2018	A2019	A2020	A2021	A2022	A2023	A2024	A2025	A2026	A2027	A2028	A2029	A2030	A2031	A2032	A2033	A2034	A2035	A2036	A2037	A2038	A2039	A2040	A2041	A2042	A2043	A2044	A2045	A2046	A2047	A2048	A2049	A2050	A2051	A2052	A2053	A2054	A2055	A2056	A2057	A2058	A2059	A2060	A2061	A2062	A2063	A2064	A2065	A2066	A2067	A2068	A2069	A2070	A2071	A2072	A2073	A2074	A2075	A2076
Methanimicrococcus_unid_methanogen|67d8cff77a7ed7cd59d405b2c7d18908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035253472467038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002187386073641998	0.0	0.0003075787401574803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011388873071009624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953506544246923	0.0
Methanomethylophilaceae|898c387af1af6f5578d717b5d09aa6e2	0.00652990465183473	0.0	0.0015409233686955492	0.027375952714263494	0.0067577282530553555	0.007522331922896097	0.012139605462822459	0.022406584792265483	0.00997759043858713	0.023616473616473618	0.016569428238039672	0.015421470279982034	0.015903482314230874	0.029471934535225675	0.013287738153395212	0.02144722118612458	0.01757826687005157	0.011807515223525918	0.021957671957671957	0.0172234776766628	0.02861557478368356	0.02297837727919745	0.023599156358661576	0.027832332641265924	0.032117871528513885	0.019768444389703165	0.02063904601742853	0.005040434252797164	0.010881923014455092	0.009922822491730982	0.010830324909747292	0.010578920041536865	0.018469101123595507	0.01244010320678216	0.00922150429709554	0.012376792114695341	0.013556903317873707	0.02155958382494905	0.030700603516137497	0.04408580987994489	0.02341875419905941	0.02863589031586255	0.05326474736580104	0.044141190821071895	0.037234492680037236	0.08298667418740746	0.07842686292548298	0.047135495604728704	0.026444312090530078	0.09536027367970921	0.027881201835656767	0.039568345323741004	0.041907245297075804	0.015165876777251185	0.0142846731287807	0.013718011811023622	0.023496124984622956	0.023316062176165803	0.027338851266616504	0.039394729976519695	0.02391713747645951	0.033659155044783444	0.049164446597239043	0.04948492403217461	0.044696618805002315	0.08851721439749609	0.05780188472496165	0.036866611887154205	0.03570796460176991	0.07459747080367632	0.035966837356742255	0.04297138452644764	0.034877232142857144	0.01916492295986304	0.01504424778761062	0.01747273249138921	0.020949432404540762	0.0032762629465229337	0.0	0.003967834091630516	0.004725897920604915	0.0	0.0045059806652466	0.0008595764632335703	0.007055093143083631	0.004992926687193143	0.005713914680864879	0.0035545023696682463	0.0155005382131324	0.008235073928504585	0.01974257234104326	0.004593817610622092	0.007995126779867509	0.004570567553992968	0.0203436886697621	0.004214593028360699	0.007240228519712654	0.006298310907529345	0.018325410213157492	0.010024950989128497	0.017550656696757195	0.016872107784921576	0.0213370174226725	0.011967961255471733	0.007762594000161721	0.0044307455210942015	0.01517580421075131	0.013907653182865772	0.004878388737891142	0.018837503023137074	0.0069750139500279	0.009613389584341932	0.010454055994257	0.015518777251629238	0.03094451086574302	0.05792764388393096	0.08739262383622241	0.06549324600900532	0.09428166351606805	0.042729550857803764	0.08871403687909184	0.027970384298977552	0.04524918329047056	0.057946265938069216	0.016685318954115375	0.013075157201317496	0.10288849589624995	0.02763698957636033	0.047088842495940614	0.04717929087516149	0.01808525907851299	0.014642906478795414	0.01395136951198679	0.02363261431704363	0.018864941771618276	0.026390915434879147	0.03803131991051454	0.024803344908227623	0.03552258609251553	0.04818051232942303	0.04288730535761415	0.046807914877730075	0.09633179114342366	0.057445255474452554	0.03672966310599836	0.034101312175770525	0.07213946964130652	0.03574284343515113	0.05177674968008662	0.038611980330800176	0.0205101910011537	0.013233951931852754	0.014000130233769616	0.024809874080538585
Methanimicrococcus_uncl|9cce4595ea2f71be670e24bd0b6cf616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029054986562068713	0.0	0.0	0.0	0.0	0.0	0.0001710083794105911	0.00011222714774704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002767017155506364	0.0003104240392375986	0.0	0.0003644049267546097	0.0	0.0001845245417640546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011542901115813775	0.0	0.0002063983488132095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014354753815972056	0.0	0.0	0.0	6.546430558737848e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter|54999161f47d1286fff6aa6265719ef7	0.0	0.0	0.011438392698393883	0.0	0.0	0.003937470615890926	0.0	0.002155735563104259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02679137603043754	0.0	0.036874404824886256	0.028733459357277884	0.0	0.01491069965590693	0.032116902398999767	0.0	0.0	0.003701058372832933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004214593028360699	0.0	0.0	0.0	0.0	0.0020146449188330555	0.0	0.0	0.00288721244295427	0.0	0.0	0.0	0.0	0.0	0.0010480208529277404	0.0	0.0	0.0	0.0	0.0	0.003580398653342596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049905180157700365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanomethylophilaceae_uncl|847f2b610ab8ffc7a42690064947ca28	0.0	0.0	0.0005333965507023055	0.0	0.0	0.0	0.0	0.09165142409197805	0.03228043965425248	0.037001287001287	0.06165694282380397	0.02807306483006438	0.08154647655607349	0.03055875207773942	0.015925744992672203	0.044199925400969786	0.07685043945667175	0.005792365958710828	0.03756613756613757	0.05124289989617052	0.09233621755253399	0.021961634921710837	0.034429687054665675	0.040457886762807926	0.037894848420606315	0.024202487991131914	0.015976150435713193	0.03195967652597762	0.024958042336635806	0.02961096235627658	0.01588447653429603	0.020119418483904465	0.023525280898876403	0.025340950976778475	0.006963176714133367	0.010920698924731184	0.009513616363420145	0.0022524938324573634	0.001574389923904487	0.0013776815587482779	0.002975333525290335	0.0029503644567858383	0.0017423048203766697	0.0017534497217351528	0.0011001100110011	0.000634562504406684	0.0018399264029438822	0.008638981509548348	0.006194163192376414	0.012686194854251301	0.01013074725084423	0.018193137797454344	0.0085056186751102	0.015895005468465184	0.005320311930617302	0.006951279527559055	0.009041702546438676	0.007979274611398964	0.0030097817908201654	0.003174189059918254	0.003389830508474576	0.0033945441904216596	0.004076854767094535	0.0022578672562208945	0.002176933765632237	0.0018583724569640062	0.0026846373000219154	0.018132018625034236	0.01336283185840708	0.021905880726971184	0.009205071933674713	0.02052220830523172	0.014508928571428572	0.022684040327182804	0.008156983455175067	0.012772675086107922	0.0071207430340557275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029488703923900118	0.0016643088957310477	0.024349068242321928	0.008952080042127435	0.023681377825618945	0.005614823133071308	0.03077518629633214	0.0012447763848137281	0.006167669230183507	0.007383224510296334	0.01723230099085731	0.002941434717710071	0.0304881497822275	0.004580589750930432	0.035117313295506825	0.017242915701301015	0.035566231451706634	0.01736352840001638	0.022027784173766215	0.011176306230790724	0.019366054823320124	0.03058177615103063	0.015247052117844039	0.016053405388222204	0.014007944804515993	0.02453443689033402	0.016244032488064976	0.017048205270074	0.01606245513280689	0.01692531295419382	0.006259230606934384	0.0037407150109549513	0.003806388560259246	0.003990994678673762	0.003922495274102079	0.004176572640236458	0.0036038200492522075	0.003584440004700905	0.002849794953777716	0.004326047358834244	0.012819208464747177	0.022457331070965165	0.013240828912166146	0.010567084249784833	0.019995360705172813	0.00966553423608785	0.01703267786230324	0.0035916563061196296	0.007174990034736063	0.010310628130012111	0.005849185856563208	0.0031085453276660535	0.0044742729306487695	0.0036142016866274537	0.0032567396417586395	0.003172133109887479	0.0027711797307996833	0.002660070935224939	0.0012117206433135052	0.0024817518248175185	0.016516023007395235	0.012511443393347574	0.019637966735689	0.012234127618743004	0.018653410768776454	0.011343316942333483	0.019356492757338802	0.007656424297738566	0.011200104187015694	0.009038773220296722
Methanobrevibacter_uncl|cb66e91ee3803be28911bd8b2cfbbc49	0.0	0.0	0.0	0.0	0.0005751258087706686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019848771266540643	0.0007442489851150202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
uncl_Methanobacteriales|6776ff189b0559faf528e91e0dc8ddc9	0.0052585957815660216	0.005727567029135884	0.0037930421383275056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter|24fb03a651b9003c07c4c533cee4edb7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005628224503621867	0.0	0.0	0.0018267929634641408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter|8e8cbca70b33706a41f7a0cfcdcb9bbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006019563581640331	0.0	0.0	0.0	0.0	0.0	0.001157943492357573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007736127716435755	0.0	0.0	0.0029676627097830538	0.003166351606805293	0.0	0.004144393056640039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005836452451944427	0.0	0.0	0.0	0.0	0.0	0.0009333582228859437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanomethylophilaceae_uncl|8fb00ac5db61f0876957ace03b9312e4	0.0	0.0	0.0009482605345818764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012135355892648775	0.0	0.0	0.0	0.0	0.0	0.00406769811868962	0.0	0.0	0.0014658278873755574	0.0016069221260815822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009199632014719411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009416195856873823	0.0013905361743895956	0.0011705820618390249	0.0008937391222541041	0.0010189902732746642	0.0	0.0014245014245014246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014284202729869856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010052175578000096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008668849932575612	0.0	0.0	0.0	0.0006718082390562437	0.0	0.0007261912995366208	0.0004935391241923905	0.0	0.0	0.0020306738630898307	0.0014402551309089038	0.002404830126893164	0.0010869565217391304	0.0037267878943648396	0.0	0.0021154072158890585	0.0	0.0034153005464480873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009485166253886283	0.0	0.0	0.0	0.0009649598938544116	0.0017955470433325352	0.0014515703351807865	0.0009333582228859437	0.0	0.001532846715328467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
