#SampleID	A1007	A1008	A1009	A1010	A1011	A1012	A1013	A1014	A1015	A1016	A1017	A1018	A1019	A1020	A1021	A1022	A1023	A1024	A1025	A1026	A2007	A2008	A2009	A2010	A2011	A2012	A2013	A2014	A2015	A2016	A2017	A2018	A2019	A2020	A2021	A2022	A2023	A2024	A2025	A2026
A1007	0.0	0.16666666666666666	0.22857142857142854	0.19444444444444445	0.21212121212121213	0.15151515151515152	0.2777777777777778	0.3	0.21212121212121213	0.34210526315789475	0.22857142857142854	0.2571428571428571	0.3055555555555556	0.35897435897435903	0.25	0.3157894736842105	0.24242424242424246	0.3076923076923077	0.2972972972972973	0.22857142857142854	0.4444444444444444	0.40540540540540543	0.34210526315789475	0.4	0.37142857142857133	0.4857142857142857	0.3142857142857143	0.375	0.3783783783783784	0.35897435897435903	0.35897435897435903	0.2368421052631579	0.40540540540540543	0.3611111111111111	0.325	0.35897435897435903	0.30952380952380953	0.3333333333333333	0.3888888888888889	0.44680851063829785
A1008	0.16666666666666666	0.0	0.17142857142857146	0.1891891891891892	0.2058823529411765	0.2	0.2222222222222222	0.25	0.2571428571428571	0.3333333333333333	0.1176470588235294	0.25	0.2972972972972973	0.35	0.19444444444444445	0.2631578947368421	0.2857142857142857	0.21052631578947367	0.19444444444444445	0.2222222222222222	0.3888888888888889	0.35135135135135137	0.2894736842105263	0.3888888888888889	0.3142857142857143	0.42857142857142855	0.3055555555555556	0.28205128205128205	0.32432432432432434	0.3076923076923077	0.3076923076923077	0.275	0.3947368421052632	0.35135135135135137	0.275	0.2631578947368421	0.2195121951219512	0.2857142857142857	0.3783783783783784	0.40425531914893614
A1009	0.22857142857142854	0.17142857142857146	0.0	0.2	0.21875	0.21212121212121213	0.2352941176470588	0.2631578947368421	0.16129032258064516	0.35135135135135137	0.18181818181818185	0.2647058823529412	0.3142857142857143	0.3684210526315789	0.2571428571428571	0.2777777777777778	0.30303030303030304	0.3157894736842105	0.2571428571428571	0.125	0.3636363636363637	0.3235294117647059	0.35135135135135137	0.3636363636363637	0.3333333333333333	0.40625	0.2727272727272727	0.34210526315789475	0.3428571428571429	0.3684210526315789	0.3684210526315789	0.2894736842105263	0.4166666666666667	0.37142857142857133	0.375	0.2777777777777778	0.3170731707317073	0.3414634146341464	0.4	0.4565217391304348
A1010	0.19444444444444445	0.1891891891891892	0.2	0.0	0.2857142857142857	0.17647058823529413	0.2	0.2307692307692308	0.18181818181818185	0.2222222222222222	0.14705882352941174	0.17647058823529413	0.22857142857142854	0.2432432432432433	0.2222222222222222	0.2894736842105263	0.3142857142857143	0.28205128205128205	0.2222222222222222	0.14705882352941174	0.4594594594594595	0.42105263157894735	0.3157894736842105	0.37142857142857133	0.3888888888888889	0.4571428571428571	0.3333333333333333	0.3076923076923077	0.35135135135135137	0.3333333333333333	0.3333333333333333	0.3	0.42105263157894735	0.3783783783783784	0.3809523809523809	0.3333333333333333	0.3636363636363637	0.30952380952380953	0.40540540540540543	0.39130434782608703
A1011	0.21212121212121213	0.2058823529411765	0.21875	0.2857142857142857	0.0	0.25	0.2727272727272727	0.2972972972972973	0.25806451612903225	0.3428571428571429	0.16129032258064516	0.25	0.30303030303030304	0.3611111111111111	0.24242424242424246	0.3611111111111111	0.2903225806451613	0.3055555555555556	0.1875	0.2727272727272727	0.3	0.25806451612903225	0.29411764705882354	0.3	0.26666666666666666	0.3448275862068966	0.25806451612903225	0.3333333333333333	0.28125	0.3142857142857143	0.3142857142857143	0.2777777777777778	0.3125	0.25806451612903225	0.32432432432432434	0.2647058823529412	0.35	0.375	0.2903225806451613	0.4545454545454545
A1012	0.15151515151515152	0.2	0.21212121212121213	0.17647058823529413	0.25	0.0	0.15625	0.2432432432432433	0.13333333333333333	0.2857142857142857	0.15625	0.1875	0.24242424242424246	0.3055555555555556	0.18181818181818185	0.2571428571428571	0.2258064516129032	0.25	0.2352941176470588	0.15625	0.4411764705882353	0.4	0.3783783783783784	0.34375	0.3636363636363637	0.4375	0.30303030303030304	0.3684210526315789	0.3235294117647059	0.3055555555555556	0.35135135135135137	0.3157894736842105	0.4	0.35294117647058826	0.35897435897435903	0.35135135135135137	0.3809523809523809	0.325	0.38235294117647056	0.4782608695652174
A1013	0.2777777777777778	0.2222222222222222	0.2352941176470588	0.2	0.2727272727272727	0.15625	0.0	0.21621621621621626	0.21875	0.2571428571428571	0.125	0.15625	0.21212121212121213	0.2777777777777778	0.09375	0.2777777777777778	0.30303030303030304	0.2222222222222222	0.15151515151515152	0.125	0.4117647058823529	0.37142857142857133	0.35135135135135137	0.3125	0.3333333333333333	0.4545454545454545	0.2727272727272727	0.2972972972972973	0.29411764705882354	0.2777777777777778	0.32432432432432434	0.375	0.3235294117647059	0.3235294117647059	0.2894736842105263	0.22857142857142854	0.35714285714285715	0.3414634146341464	0.35294117647058826	0.3863636363636364
A1014	0.3	0.25	0.2631578947368421	0.2307692307692308	0.2972972972972973	0.2432432432432433	0.21621621621621626	0.0	0.25	0.36585365853658536	0.16666666666666666	0.2894736842105263	0.3333333333333333	0.3809523809523809	0.2368421052631579	0.3809523809523809	0.3684210526315789	0.25	0.1891891891891892	0.16666666666666666	0.42105263157894735	0.38461538461538464	0.325	0.42105263157894735	0.3947368421052632	0.4594594594594595	0.38461538461538464	0.3170731707317073	0.3157894736842105	0.3	0.3414634146341464	0.2682926829268293	0.34210526315789475	0.34210526315789475	0.30952380952380953	0.2564102564102564	0.3333333333333333	0.2380952380952381	0.3684210526315789	0.3958333333333333
A1015	0.21212121212121213	0.2571428571428571	0.16129032258064516	0.18181818181818185	0.25806451612903225	0.13333333333333333	0.21875	0.25	0.0	0.24242424242424246	0.16129032258064516	0.13333333333333333	0.1935483870967742	0.2647058823529412	0.24242424242424246	0.21212121212121213	0.1724137931034483	0.2571428571428571	0.24242424242424246	0.1	0.3548387096774194	0.3636363636363637	0.3428571428571429	0.3	0.26666666666666666	0.3448275862068966	0.25806451612903225	0.3783783783783784	0.28125	0.2647058823529412	0.3142857142857143	0.2777777777777778	0.3636363636363637	0.3125	0.3684210526315789	0.3142857142857143	0.3902439024390244	0.3333333333333333	0.34375	0.4545454545454545
A1016	0.34210526315789475	0.3333333333333333	0.35135135135135137	0.2222222222222222	0.3428571428571429	0.2857142857142857	0.2571428571428571	0.36585365853658536	0.24242424242424246	0.0	0.2571428571428571	0.125	0.125	0.09090909090909093	0.2777777777777778	0.14705882352941174	0.3235294117647059	0.2894736842105263	0.2777777777777778	0.3055555555555556	0.42857142857142855	0.4324324324324325	0.41025641025641024	0.3333333333333333	0.35294117647058826	0.42424242424242425	0.24242424242424246	0.4	0.3142857142857143	0.2972972972972973	0.2972972972972973	0.3902439024390244	0.3428571428571429	0.3888888888888889	0.3902439024390244	0.34210526315789475	0.4444444444444444	0.4318181818181818	0.37142857142857133	0.4
