# Constructed from biom file
#OTU ID	B1000	B1001	B1002	B1003	B1004	B1005	B1006	B1007	B1008	B1009	B1010	B1011	B1012	B1013	B1014	B1015	B1016	B1017	B1018	B1019	B1020	B1021	B1022	B1025	B1026	B1027	B1028	B1029	B1030	B1031	B1032	B1033	B1034	B1035	B1036	B1037	B1038	B1039	B1040	B1041	B1042	B1043	B1044	B1045	B1046	B1047	B1048	B1049	B1050	B1051	B1052	B1053	B1054	B1055	B1056	B1057	B1058	B1059	B1060	B1061	B1062	B1063	B1064	B1065	B1066	B1067	B1068	B1069	B1070	B1071	B1073	B1074	B1075	B1076	B2000	B2001	B2002	B2003	B2004	B2005	B2006	B2007	B2008	B2009	B2010	B2011	B2012	B2013	B2014	B2015	B2016	B2017	B2018	B2019	B2020	B2021	B2022	B2023	B2024	B2025	B2026	B2027	B2028	B2029	B2030	B2031	B2032	B2033	B2034	B2035	B2036	B2037	B2038	B2039	B2040	B2041	B2042	B2043	B2044	B2045	B2046	B2047	B2048	B2049	B2050	B2051	B2052	B2053	B2054	B2056	B2057	B2058	B2059	B2060	B2061	B2062	B2063	B2064	B2065	B2066	B2067	B2068	B2069	B2070	B2071	B2072	B2073	B2074	B2075	B2076
Lachnospiraceae_NK3A20_gr|577c94f326e6eed67cbec7f8932d79d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002652461263013638	0.0006537501485795792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019754480033864824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.798397961933224e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005159198113207547	0.0	0.0	0.0	0.0	0.0	0.0002564008644372001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF39|a7f70858cc2b379e26bdb4463d15bed0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017423337315810433	0.0	0.00017683075086757588	0.0	0.0006741789463546181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042077949401265845	0.0	0.0	0.0	0.0005287461665902922	0.0	0.0005079723437279525	0.0	0.0002690651906519065	0.0	0.0	0.0	0.0004130037170334533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001224799745241653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_UCG-014_u_r|4bf15b707931ee19a33306ba9f09fda1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020674826331458816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020351573431020886	0.0	0.00024301336573511544	0.0002404809619238477	0.0	0.0	0.0	0.0	0.0	0.00020583543457006125	0.0	7.567158531971244e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022852789944772424	0.0	0.0003365618338880371	0.0	0.0	0.0001724019033170126	0.0	0.0	0.00022461814914645105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011732957878681215	0.00045526974732529026	0.0	0.0	0.0	5.310674455655868e-05	0.00012226807274950328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001730777551815153	0.0	0.0	0.0001554645799865264	9.985022466300549e-05	0.0	0.0
Stenotrophomonas|8875b05b508dbb42caaeb1c1e28fcf04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023079833522512295	0.0005039370078740158	0.0	0.0	0.0	0.0	0.0003611512390265585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005128017288744002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brevundimonas|7013aedac164ee64402096c0b6a2e7a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023308664996212343	0.0	0.00018589664146734415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.498703947647984e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.514623866490698e-05	0.0	0.000333370374486054	0.0	0.0	0.0	0.0	0.0	0.00012041905832296392	0.00028553192918808157	0.0	0.00021254738035353716	0.0002564008644372001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13206473123526e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001564394383824162	0.00013007707066436862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000295217476874631	0.0	0.0001951371814385513	0.0	0.0	0.0	0.00023881309889847458	0.00015064778547755348	0.00027162314229172324	0.00019102196752626553	0.00036519674974892725	0.0	0.00031331125234983437	0.0	0.00020728610664870188	0.0	0.00094758366166276	0.0
NK4A214_gr_u_b|c6441639a8097e374624957b52b8e462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030527360146531327	0.0	0.0	0.0	0.0	0.0	0.0004871909382485486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005527712264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029350258649154344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000743087332316477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008809659532569829	0.0	0.00029923694578823997	0.0
UCG-010_u_b|6ac1078c5a5a01d41f50758afaa3c4d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002596631797611099	0.0	0.0	0.0	0.0	3.50649578343882e-05	0.0	0.0001417133139658471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017700159301433713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001098508774338835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012087469323468006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.805487257542052e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treponema_u_r|06ab0fc1113a4bc1a58aefefb01b2945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016652234729900753	0.0005126014523707817	0.00033846674564224065	0.0	0.00028639407825167433	0.0	0.00027214587018641994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044739649654128094	0.0	0.0	0.0	0.0	0.0	0.0	0.0007233961545783362	0.0	0.0	0.0	0.0	0.00046955139781839196	0.00029874069307840795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006073003899507767	0.0	0.0	0.00038944946008143036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibrobacter_u_r|b61e9a438bd3fc2cae170ec9480bc504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003235762644364795	0.0004393332471895594	0.00017683075086757588	0.0019216292246127026	0.0001444669170759896	0.0012482230158454978	0.0	0.0	0.0	0.0004451368795904741	0.0	0.00018052496660288117	0.00022468303643074947	0.0013122068037922778	0.002629871837579115	0.0008557522597208108	0.0014525614681499327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001707192156671463	0.00013233348037053374	0.0004130037170334533	0.0	0.00020615156262884473	0.0	0.0	0.00036975411351451286	0.0	0.00023308664996212343	0.0	0.0	0.0	0.0	0.00025439466788776106	0.0	0.0003818781461551814	0.0	0.0	0.0	0.0003653932036864114	0.00016997407895295969	0.00022046395414349753	0.00025729429321257654	0.0	0.0	0.0	0.0	0.0	0.0	0.00013731359679235438	0.0	0.0	0.0	0.000304703865930299	0.0	0.0004487491118507161	0.00016055874443061857	6.718398333837214e-05	0.00013792152265361008	0.0003188210705303057	0.0002564008644372001	0.0002620545073375262	0.0	0.0	0.0003878975950349108	0.0	0.0	0.0	0.0	0.000133217877839206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003436951042541816	0.0	0.0	0.0	7.929166116030131e-05	0.0	0.0	0.00023828435266084195	0.0	0.0	0.00022763487366264513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rikenellaceae_RC9_gut_gr_u_b|e5382329124f515813b957c81de75431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005851077361418505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013717757146706514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008424599831508003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005559968228752979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000519639309185389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005432462845834465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
