featureid	BS	Trt1	Trt2	Trt3	Trt4	Trt5
Lactobacillus_mucosae|85870f9c9d8561d496c865a3b52b5d02	FR	0.006905136699562196	0.012836995142955403	0.017834209786185197	0.009318451148104673	0.008198151358214282
Lactobacillus_mucosae|de8d04f3bc8e1e86c55677ca89aa8f90	FR	0.004553259517548683	0.009063368679857476	0.013946590843610194	0.006021319800154048	0.005833241108750275
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	FL	0.0001872655384147546	0.014392503827473275	0.022034291698059386	0.0024846570169113095	0.004148854150122514
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	FL	0.05600190675657783	0.03995502408998196	0.041165406124178114	0.043525552249623393	0.044151335158388885
Atopobium_u_r|e1d34271efe7b6c1bb28d0743ab3afce	FL	0.007065892141208822	0.0019206106905412395	0.0011382696336968447	0.004253919346694705	0.0011792196834198357
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	FL	0.10954561718824125	0.08022384801118435	0.08165689155817715	0.08569526780602046	0.08605869062827028
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	FL	3.5594854977913816e-05	0.011471606946959409	0.020563340761991927	0.005910460413900441	0.011138935419309914
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	FL	9.284279076869804e-05	0.00724661981784896	0.010644694884837543	0.0011931028040077373	0.0018537854834567698
Prevotellaceae|896920b38704fd64a368bdcdf9063088	FL	0.0074629595144424885	0.008216699925103411	0.007085715420472284	0.004980911678519181	0.006080103658285179
Pseudoscardovia_u_b|9a4e460241625bd33e1444c1ad8ce57f	FL	0.024889755409833257	0.031240177693413813	0.023092456203590163	0.019261728744570075	0.01675471632838426
Succiniclasticum|18149f2e17cbffa9665ceaf38b049a50	FL	0.009460499763113014	0.007772799432733032	0.006341387862435428	0.00841040122037813	0.008891527001327752
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	E	0.0005496502314964805	0.013622611092063735	0.01863737585140984	0.002714492650124806	0.003993804494994241
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	E	0.051325026973599745	0.04147627903553246	0.03974233289702284	0.047871807447179136	0.041894165821335934
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	E	0.10202111547450404	0.07912331844641297	0.07763052714568766	0.09062193504386695	0.08092250801579765
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	E	0.00011596487687098843	0.008396974560516142	0.01862294063903396	0.005023708364309548	0.010393796727682945
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	E	0.00012143568473914661	0.006204587396412095	0.008797780740688146	0.0012933397360123202	0.0018589550137041659
Pseudoscardovia_u_b|9a4e460241625bd33e1444c1ad8ce57f	E	0.03600919133668643	0.034990591612829976	0.03163494733845871	0.026264374526671762	0.021078474578970656
Spirochaetaceae|802336f722117711ba9c546f49a4f50f	E	0.0024134430127191763	0.00941934892743938	0.015216335553849837	0.0059685653065025225	0.009778194481791737
