#SampleID	B1027	B1028	B1029	B1030	B1031	B1032	B1033	B1034	B1035	B1036	B2027	B2028	B2029	B2030	B2031	B2032	B2033	B2034	B2035	B2036
B1027	0.0	0.5472527472527473	0.5830115830115831	0.56	0.6520833333333333	0.6527514231499051	0.6077348066298343	0.6065217391304348	0.6790393013100436	0.652267818574514	0.6672967863894139	0.6551724137931034	0.6618556701030928	0.6606425702811245	0.6829268292682927	0.6843177189409368	0.6719681908548708	0.6818980667838312	0.6641074856046065	0.6979362101313321
B1028	0.5472527472527473	0.0	0.5467479674796748	0.5671981776765376	0.62882096069869	0.6424361493123772	0.5520628683693517	0.5467289719626168	0.6590389016018307	0.5995370370370371	0.6415841584158416	0.6297872340425532	0.6214442013129103	0.6242038216560509	0.6326086956521739	0.6602564102564102	0.630801687763713	0.6412639405204461	0.6211812627291242	0.6445783132530121
B1029	0.5830115830115831	0.5467479674796748	0.0	0.5760649087221096	0.5334728033472803	0.5612052730696798	0.5352622061482821	0.5399159663865546	0.6126315789473684	0.5962732919254659	0.6660808435852372	0.6420454545454546	0.626953125	0.6266666666666667	0.6262230919765166	0.6193293885601578	0.6479400749063671	0.66	0.6388384754990926	0.635036496350365
B1030	0.56	0.5671981776765376	0.5760649087221096	0.0	0.5894495412844036	0.6219512195121951	0.5914396887159533	0.5837209302325581	0.6258992805755396	0.6070588235294118	0.6906614785992218	0.6989690721649484	0.6557734204793029	0.6546610169491526	0.6491228070175439	0.6564551422319475	0.6886597938144329	0.6992753623188406	0.6585858585858586	0.6653225806451613
B1031	0.6520833333333333	0.62882096069869	0.5334728033472803	0.5894495412844036	0.0	0.5377969762419006	0.5568862275449101	0.5761124121779859	0.5771144278606966	0.5550122249388753	0.6875	0.6736842105263158	0.625	0.6624472573839663	0.6085972850678733	0.6099773242630385	0.6853002070393375	0.6771217712177122	0.6386036960985626	0.6427104722792608
B1032	0.6527514231499051	0.6424361493123772	0.5612052730696798	0.6219512195121951	0.5377969762419006	0.0	0.5709090909090909	0.5962343096234309	0.6135371179039302	0.5874730021598272	0.7217391304347827	0.6973684210526315	0.6942307692307692	0.6698473282442748	0.6627218934911243	0.6613861386138614	0.7097966728280961	0.7043189368770764	0.6678899082568808	0.6592592592592592
B1033	0.6077348066298343	0.5520628683693517	0.5352622061482821	0.5914396887159533	0.5568862275449101	0.5709090909090909	0.0	0.536734693877551	0.6158536585365854	0.5943775100401606	0.6440972222222222	0.6465201465201466	0.6499068901303539	0.6490909090909089	0.6261859582542695	0.6247619047619047	0.6642728904847397	0.6392092257001647	0.6456140350877193	0.6151079136690647
B1034	0.6065217391304348	0.5467289719626168	0.5399159663865546	0.5837209302325581	0.5761124121779859	0.5962343096234309	0.536734693877551	0.0	0.5597964376590331	0.5375	0.6811881188118812	0.6609442060085837	0.6593406593406593	0.646551724137931	0.640625	0.6266968325791855	0.6502145922746781	0.6978021978021978	0.6673427991886409	0.6438923395445134
B1035	0.6790393013100436	0.6590389016018307	0.6126315789473684	0.6258992805755396	0.5771144278606966	0.6135371179039302	0.6158536585365854	0.5597964376590331	0.0	0.5552631578947368	0.7323943661971831	0.7161572052401747	0.7013574660633484	0.6989010989010989	0.6947608200455581	0.6873563218390805	0.7136659436008677	0.7264150943396226	0.700836820083682	0.6716738197424893
B1036	0.652267818574514	0.5995370370370371	0.5962732919254659	0.6070588235294118	0.5550122249388753	0.5874730021598272	0.5943775100401606	0.5375	0.5552631578947368	0.0	0.7148514851485148	0.6804347826086956	0.6704035874439462	0.6600877192982456	0.6422018348623854	0.6436781609195402	0.6666666666666666	0.6979362101313321	0.6497890295358649	0.6220302375809935
